match_key,tour,tournament,year,player,milestone,sim_prob,actual_reached,logged_at
ATP|US Open|2021,ATP,US Open,2021,Chardy J.,final,0.006,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Chardy J.,champion,0.003,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Berrettini M.,semifinal,0.052,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Berrettini M.,final,0.028,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Berrettini M.,champion,0.009,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Zverev A.,semifinal,0.387,1,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Zverev A.,final,0.223,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Zverev A.,champion,0.134,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Querrey S.,semifinal,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Querrey S.,final,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Querrey S.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Vinolas A.,semifinal,0.007,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Vinolas A.,final,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Vinolas A.,champion,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Pouille L.,semifinal,0.009,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Pouille L.,final,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Pouille L.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Nishioka Y.,semifinal,0.008,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Nishioka Y.,final,0.002,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Nishioka Y.,champion,0.001,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Sock J.,semifinal,0.002,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Sock J.,final,0.002,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Sock J.,champion,0.0,0,2026-08-28T18:37:08.315107+00:00
ATP|US Open|2021,ATP,US Open,2021,Hanfmann Y.,semifinal,0.001,0,2026-08-28T18:37:08.315107+00:00
