tour,round,date,bet_on,opponent,model_prob,market_prob,ev_per_unit,edge_pp,decimal_odds,real_decimal_odds,won,player_hard_matches,opponent_hard_matches,min_hard_matches,event,filtered
WTA,1st Round,2026-08-31,Krueger A.,Anisimova A.,0.20189823105266436,0.17538461538461536,0.15117412442308642,2.6513615668048995,5.701754385964913,5.5,False,88,113,88,US Open,False
WTA,1st Round,2026-08-31,Parry D.,Golubic V.,0.6207833086132994,0.5172413793103448,0.20018106331904573,10.354192930295468,1.9333333333333336,1.91,True,72,80,72,US Open,True
WTA,1st Round,2026-08-31,Shnaider D.,Snigur D.,0.678721672290211,0.665083135391924,0.020506514407781395,1.363853689828698,1.5035714285714286,1.44,True,108,20,20,US Open,False
WTA,1st Round,2026-08-31,Koevermans A.,McNally C.,0.30223153200944053,0.19086460032626426,0.5834865736904877,11.136693168317628,5.239316239316239,5.5,False,0,35,0,US Open,False
WTA,1st Round,2026-08-31,Tauson C.,Stephens S.,0.7334114364608026,0.6930022573363431,0.05831031385060448,4.040917912445952,1.4429967426710097,1.4,False,121,90,90,US Open,False
WTA,1st Round,2026-08-31,Cirstea S.,Grabher J.,0.8802505814211264,0.8795045045045045,0.0008482923200516801,0.0746076916621985,1.1370038412291934,1.08,True,144,24,24,US Open,False
WTA,1st Round,2026-08-31,Joint M.,Samsonova L.,0.32833559211298835,0.2958057395143488,0.10997032259092321,3.252985259863955,3.380597014925373,3.4,True,56,166,56,US Open,False
WTA,1st Round,2026-08-31,Ruzic A.,Li A.,0.41408766664985985,0.2760084925690021,0.5002714691698769,13.807917408085773,3.623076923076923,3.6,False,37,101,37,US Open,True
WTA,1st Round,2026-08-31,Cocciaretto E.,Siniakova K.,0.39824961454850805,0.37810945273631846,0.05326542795065925,2.0140161812189583,2.644736842105263,2.63,False,80,120,80,US Open,False
WTA,1st Round,2026-08-31,Birrell K.,Marcinko P.,0.5214940042693199,0.5211640211640212,0.0006331655522990864,0.032998310529874786,1.9187817258883249,1.83,True,69,13,13,US Open,False
WTA,1st Round,2026-08-31,Noskova L.,Volynets K.,0.8866269250054315,0.721868365180467,0.22823906375752423,16.475855982496444,1.385294117647059,1.33,True,116,75,75,US Open,True
WTA,1st Round,2026-08-31,Kalinskaya A.,Blinkova A.,0.7669036559518868,0.7318087318087318,0.04795641622970881,3.509492414315496,1.3664772727272727,1.3,True,131,102,102,US Open,False
WTA,1st Round,2026-08-31,Podoroska N.,Waltert S.,0.460779425852387,0.36609336609336607,0.2586391028316881,9.468605975902095,2.731543624161074,2.63,True,44,10,10,US Open,False
WTA,1st Round,2026-08-31,Ito A.,Selekhmeteva O.,0.5107336070486648,0.3869346733668342,0.31994789354135444,12.379893368183058,2.5844155844155843,2.5,False,17,19,17,US Open,False
WTA,1st Round,2026-08-31,Zidansek T.,Timofeeva M.,0.4093024571626084,0.3600973236009733,0.13664398576913528,4.920513356163508,2.7770270270270268,2.75,False,42,13,13,US Open,False
WTA,1st Round,2026-08-31,Sierra S.,Svitolina E.,0.13635147325275654,0.10961737331954499,0.24388560976807128,2.6734099933211546,9.122641509433961,10.0,False,17,109,17,US Open,False
WTA,1st Round,2026-08-31,Williams V.,Kenin S.,0.2850570234090194,0.14586070959264127,0.9543098631915652,13.919631381637812,6.8558558558558556,7.0,False,22,120,22,US Open,False
