player,hard_elo,clay_elo,grass_elo,hard_elo_undamped,clay_elo_undamped,grass_elo_undamped,overall_elo,hard_matches,clay_matches,grass_matches,current_rank,days_since_last_match,recent_form_residual
Shimizu A.,1476.929052539663,1478.1073211411726,1478.1073211411726,1476.929052539663,1478.1073211411726,1478.1073211411726,1478.1073211411726,3,0,0,425,202,
Wang M.,1477.845975337831,1477.9650818838886,1477.9650818838886,1477.845975337831,1477.9650818838886,1477.9650818838886,1477.9650818838886,2,0,0,410,675,
Kiick A.,1483.154786237793,1482.823668803633,1477.8762806474226,1483.154786237793,1482.823668803633,1477.8762806474226,1477.8762806474226,12,5,0,270,1581,-0.04268087617123273
Lapko V.,1480.0572706527007,1491.8348543033103,1484.4728948645288,1480.0572706527007,1491.8348543033103,1484.4728948645288,1477.8313619162511,28,10,6,408,1768,-0.1871813334872967
Papadakis L.,1477.7966865495803,1477.7966865495803,1476.1997784770688,1477.7966865495803,1477.7966865495803,1476.1997784770688,1477.7966865495803,0,0,2,332,1133,
Klimovicova L.,1477.0228816862632,1477.7541913262526,1477.7541913262526,1477.0228816862632,1477.7541913262526,1477.7541913262526,1477.7541913262526,2,0,0,131,182,
Timofeeva M.,1498.484664137634,1462.8166604862422,1484.044496742822,1498.484664137634,1462.8166604862422,1484.044496742822,1477.57351911271,12,14,2,84,10,-0.18725347502952483
Chang S.,1477.484414357824,1477.7885325615844,1477.484414357824,1477.484414357824,1477.7885325615844,1477.484414357824,1477.484414357824,0,2,0,1237,1168,
Bjorklund M.,1476.973053836477,1489.0139160086571,1479.280726674967,1476.973053836477,1489.0139160086571,1479.280726674967,1477.446972888921,9,7,1,155,1070,0.057818324005728894
Zheng W.,1476.385131296744,1476.8159850473605,1476.8159850473605,1476.385131296744,1476.8159850473605,1476.8159850473605,1476.8159850473605,6,0,0,309,277,
Rosatello C.,1477.536925895422,1478.1096167818762,1476.7310928172615,1477.536925895422,1478.1096167818762,1476.7310928172615,1476.7310928172615,1,9,0,245,440,-0.05745976640150524
Zacarias M.,1481.1376438450834,1480.083693744079,1476.427073330122,1481.1376438450834,1480.083693744079,1476.427073330122,1476.427073330122,5,3,0,212,1441,
Hruncakova V.,1468.2081779498953,1479.2550429311882,1492.0141678044688,1468.2081779498953,1479.2550429311882,1492.0141678044688,1476.1967131560577,9,3,5,113,1020,-0.1178093148270053
Gabueva A.,1476.0113405733132,1476.4165353650585,1476.0113405733132,1476.0113405733132,1476.4165353650585,1476.0113405733132,1476.0113405733132,0,2,0,119,1168,
Liu F.,1476.0348729147147,1475.9561155368717,1475.9561155368717,1476.0348729147147,1475.9561155368717,1475.9561155368717,1475.9561155368717,23,0,0,367,642,0.04183278011932584
Paoletti M.,1475.7913292157007,1475.5782013662747,1475.7913292157007,1475.7913292157007,1475.5782013662747,1475.7913292157007,1475.7913292157007,0,4,0,294,1180,
Olmos G.,1475.802873372655,1475.7561882705163,1475.7561882705163,1475.802873372655,1475.7561882705163,1475.7561882705163,1475.7561882705163,4,0,0,685,1664,
Falconi I.,1478.4372598135199,1495.4631987810797,1488.6105637274966,1478.4372598135199,1495.4631987810797,1488.6105637274966,1475.6424232599666,64,32,14,152,2972,-0.2596956447468528
Xu M.,1475.5672361100844,1475.5672361100844,1466.6676634387354,1475.5672361100844,1475.5672361100844,1466.6676634387354,1475.5672361100844,0,0,5,326,34,
Inoue H.,1475.4323632427822,1475.226354190581,1475.226354190581,1475.4323632427822,1475.226354190581,1475.226354190581,1475.226354190581,2,0,0,215,342,
Peterson R.,1525.2253313501053,1445.5436491034575,1454.1251550082234,1546.0535810142724,1445.5436491034575,1454.1251550082234,1475.2253313501053,93,51,14,86,1070,-0.10954796603974709
Kumkhum L.,1486.934320149208,1480.0449546461955,1482.4275941729952,1486.934320149208,1480.0449546461955,1482.4275941729952,1475.169861279189,48,5,4,107,2589,-0.09215495066290252
Hogenkamp R.,1483.07323850185,1486.7685767961598,1485.882632299684,1483.07323850185,1486.7685767961598,1485.882632299684,1475.1214252944508,16,18,8,207,2531,-0.23273236229033453
Park S.,1474.8623315730651,1474.779898365352,1474.779898365352,1474.8623315730651,1474.779898365352,1474.779898365352,1474.779898365352,2,0,0,293,321,
