match_key,tour,tournament,year,player,corrections,depth,round_label,sim_prob,actual_reached,logged_at
ATP|US Open|2021|on,ATP,US Open,2021,Munar J.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Munar J.,on,1,Final,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Munar J.,on,2,Semifinal,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Munar J.,on,3,Quarterfinal,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Munar J.,on,4,Round of 16,0.028,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Munar J.,on,5,Round of 32,0.118,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Munar J.,on,6,Round of 64,0.25,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Thompson J.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Thompson J.,on,1,Final,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Thompson J.,on,2,Semifinal,0.008,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Thompson J.,on,3,Quarterfinal,0.014,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Thompson J.,on,4,Round of 16,0.116,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Thompson J.,on,5,Round of 32,0.25,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Thompson J.,on,6,Round of 64,0.59,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mager G.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mager G.,on,1,Final,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mager G.,on,2,Semifinal,0.006,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mager G.,on,3,Quarterfinal,0.014,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mager G.,on,4,Round of 16,0.056,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mager G.,on,5,Round of 32,0.146,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mager G.,on,6,Round of 64,0.41,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Brooksby J.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Brooksby J.,on,1,Final,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Brooksby J.,on,2,Semifinal,0.008,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Brooksby J.,on,3,Quarterfinal,0.008,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Brooksby J.,on,4,Round of 16,0.092,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Brooksby J.,on,5,Round of 32,0.19,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Brooksby J.,on,6,Round of 64,0.46,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Ymer M.,on,0,Champion,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Ymer M.,on,1,Final,0.008,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Ymer M.,on,2,Semifinal,0.018,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Ymer M.,on,3,Quarterfinal,0.026,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Ymer M.,on,4,Round of 16,0.138,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Ymer M.,on,5,Round of 32,0.266,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Ymer M.,on,6,Round of 64,0.54,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fritz T.,on,0,Champion,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fritz T.,on,1,Final,0.006,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fritz T.,on,2,Semifinal,0.008,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fritz T.,on,3,Quarterfinal,0.014,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fritz T.,on,4,Round of 16,0.114,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fritz T.,on,5,Round of 32,0.22,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fritz T.,on,6,Round of 64,0.424,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,De Minaur A.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,De Minaur A.,on,1,Final,0.006,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,De Minaur A.,on,2,Semifinal,0.016,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,De Minaur A.,on,3,Quarterfinal,0.038,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,De Minaur A.,on,4,Round of 16,0.19,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,De Minaur A.,on,5,Round of 32,0.324,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,De Minaur A.,on,6,Round of 64,0.576,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Hurkacz H.,on,0,Champion,0.016,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Hurkacz H.,on,1,Final,0.032,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Hurkacz H.,on,2,Semifinal,0.058,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Hurkacz H.,on,3,Quarterfinal,0.196,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Hurkacz H.,on,4,Round of 16,0.302,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Hurkacz H.,on,5,Round of 32,0.44,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Hurkacz H.,on,6,Round of 64,0.69,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Gerasimov E.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Gerasimov E.,on,1,Final,0.004,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Gerasimov E.,on,2,Semifinal,0.008,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Gerasimov E.,on,3,Quarterfinal,0.04,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Gerasimov E.,on,4,Round of 16,0.088,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Gerasimov E.,on,5,Round of 32,0.15,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Gerasimov E.,on,6,Round of 64,0.31,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Seppi A.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Seppi A.,on,1,Final,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Seppi A.,on,2,Semifinal,0.004,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Seppi A.,on,3,Quarterfinal,0.014,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Seppi A.,on,4,Round of 16,0.042,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Seppi A.,on,5,Round of 32,0.09,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Seppi A.,on,6,Round of 64,0.29,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fucsovics M.,on,0,Champion,0.004,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fucsovics M.,on,1,Final,0.014,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fucsovics M.,on,2,Semifinal,0.038,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fucsovics M.,on,3,Quarterfinal,0.124,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fucsovics M.,on,4,Round of 16,0.222,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fucsovics M.,on,5,Round of 32,0.32,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Fucsovics M.,on,6,Round of 64,0.71,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Kudla D.,on,0,Champion,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Kudla D.,on,1,Final,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Kudla D.,on,2,Semifinal,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Kudla D.,on,3,Quarterfinal,0.014,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Kudla D.,on,4,Round of 16,0.034,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Kudla D.,on,5,Round of 32,0.154,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Kudla D.,on,6,Round of 64,0.424,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Djere L.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Djere L.,on,1,Final,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Djere L.,on,2,Semifinal,0.004,0,2026-08-28T21:54:44.184749+00:00
