player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches,current_rank
Milojevic N.,1484.1660358723482,1488.2330151897397,1484.459941253652,1484.459941253652,1,2,0,136
Li Zh.,1484.0981518844017,1484.1026122816324,1484.1026122816324,1484.1026122816324,1,0,0,602
Marcondes I.,1484.0397671518438,1484.0608837791742,1484.0397671518438,1484.0397671518438,0,1,0,348
Tabur C.,1491.5730739530886,1479.2437669661836,1484.0285545214351,1484.0285545214351,3,5,0,178
Ebden M.,1484.0,1484.0,1484.0,1484.0,0,0,1,432
Stewart H.,1484.0,1484.0,1484.0,1484.0,0,0,1,305
Kicker N.,1484.0,1484.0,1484.0,1484.0,0,1,0,203
Rubin N.,1484.0,1484.0,1484.0,1484.0,1,0,0,306
Pereira T.,1484.0,1484.0,1484.0,1484.0,0,1,0,371
Dutra Da Silva D.,1484.0,1484.0,1484.0,1484.0,0,1,0,215
Zuk K.,1484.0,1484.0,1484.0,1484.0,1,0,0,172
Te R.,1483.263465803282,1483.961646744719,1483.961646744719,1483.961646744719,1,0,0,489
Bourgue M.,1483.9088986661739,1483.9364618429481,1483.9364618429481,1483.9364618429481,1,0,0,271
Bellucci T.,1483.932782513489,1484.5068835368154,1483.932782513489,1483.932782513489,0,1,0,915
Pervolarakis M.,1483.9128281067003,1483.9092845468551,1483.9092845468551,1483.9092845468551,1,0,0,377
Ghibaudo A.,1483.8613283129177,1483.8613283129177,1483.722740046342,1483.8613283129177,0,0,1,303
Added D.,1483.9222308179308,1483.8499081083767,1483.8499081083767,1483.8499081083767,1,0,0,204
Dostanic S.,1483.7428402752953,1483.7646507885242,1483.7646507885242,1483.7646507885242,3,0,0,389
Lock B.,1483.9645346570103,1483.756137419616,1483.756137419616,1483.756137419616,1,0,0,346
Kasnikowski M.,1483.3094712167729,1483.7274442650412,1483.7274442650412,1483.7274442650412,1,0,0,194
Midon L.,1483.7141386357523,1485.0751996747074,1483.7141386357523,1483.7141386357523,0,3,0,213
Brancaccio R.,1483.709736729598,1483.2383207003431,1483.709736729598,1483.709736729598,0,1,0,241
Forbes M.,1483.805670081752,1483.6893891496634,1483.6893891496634,1483.6893891496634,1,0,0,1848
Nam J.S.,1483.5463891995398,1483.601088130251,1483.601088130251,1483.601088130251,1,0,0,590
Kwiatkowski T.S.,1483.3519498077183,1483.5712838210407,1483.5712838210407,1483.5712838210407,1,0,0,477
Gentzsch T.,1483.5586468105707,1483.5586468105707,1483.3072243308595,1483.5586468105707,0,0,1,229
McDonald N.,1483.5166975447708,1483.5221430058587,1483.5166975447708,1483.5166975447708,0,1,0,505
