player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches,current_rank
Sinner J.,2155.8096247220196,1950.9051514366274,1872.0721689285037,2212.449849743913,218,73,41,1
Alcaraz C.,1995.7809175085392,1970.9154215618098,1862.5497660290607,2100.507189162729,174,100,37,2
Djokovic N.,1929.0772339130765,1766.1523444551958,1782.8801786340075,1931.9519281217779,128,62,32,8
Zverev A.,1844.20009319827,1856.8825267331044,1735.818782701538,1925.6411260374175,189,117,35,3
Fils A.,1739.819394702565,1765.5665813964606,1634.1119463960824,1840.131127291504,88,52,12,24
Fritz T.,1756.0840083082498,1602.1429446322115,1758.3950283124004,1819.0313939085524,207,52,58,9
Jodar R.,1687.632647070192,1716.3688835664789,1713.5095937508386,1799.77385567051,21,22,3,15
Auger-Aliassime F.,1816.9215529266353,1608.1751664280919,1624.35049923077,1795.1863723236604,197,59,30,4
Draper J.,1797.364089016779,1657.8376236748093,1655.198100683766,1789.8241431290087,96,32,27,143
Shelton B.,1797.9805095880956,1603.2674146637273,1637.4290509353268,1779.8047164097718,145,45,31,10
Musetti L.,1687.6602724434533,1766.2690585385067,1643.5058594112895,1753.6302449854259,147,92,26,13
Rune H.,1738.2661281509022,1745.006665404297,1603.768465513516,1752.3178639277965,147,71,21,11
Medvedev D.,1811.6749990024218,1666.9462546120492,1651.8109517462076,1749.383737292737,238,48,44,6
Ruud C.,1652.6379970912953,1779.1281992923025,1601.3745274921725,1747.7920371614614,158,129,8,14
Tien L.,1738.165680624879,1616.4869336486747,1603.491154363981,1746.9906861980073,67,20,10,19
Tiafoe F.,1692.1624311888108,1611.7563833381541,1657.1068607501427,1745.3914207268365,180,64,34,20
Nakashima B.,1702.8364788124904,1528.174332957843,1602.0451170131585,1739.1419848310336,161,44,38,31
Paul T.,1682.70604367985,1703.553018592479,1657.0636426646852,1734.189131041079,187,55,46,21
Mensik J.,1741.4288259104299,1671.218750558202,1568.5328364562502,1729.6092671878394,78,29,16,17
Lehecka J.,1693.2937607848135,1616.1625044169643,1634.33589480745,1728.2690827798447,134,46,28,12
De Minaur A.,1749.135093930262,1649.9208839315918,1670.4904042502747,1726.85122845757,199,65,44,7
Nadal R.,1680.1478025982397,1659.489322089021,1662.2141581002527,1720.40409346975,35,25,5,261
Korda S.,1697.4085556887378,1574.7063998892604,1607.8540068983668,1716.0761347952612,152,38,18,36
Machac T.,1713.8991378528594,1620.4666205656872,1587.2789317618053,1706.784653827929,84,31,9,43
Fonseca J.,1664.3206225622669,1638.945805191537,1578.9441763487525,1704.5494776804244,28,40,11,27
Bublik A.,1676.3121207122783,1627.631752140257,1668.9818680800724,1700.8589354798103,145,63,44,11
Davidovich Fokina A.,1650.5662854895895,1582.8472710132094,1637.3242018498818,1697.8099456611344,153,68,30,20
Cobolli F.,1584.6518322790141,1676.1792277040067,1609.4925277618984,1692.7162529403392,76,65,22,8
Cerundolo F.,1642.4462437266927,1679.9743762035214,1569.3822484990817,1688.0873567690196,97,131,23,23
Rublev A.,1623.652038284015,1713.8398387048185,1575.7578798194015,1681.4627802965022,220,96,21,16
Kyrgios N.,1675.086684506548,1630.5649046129015,1603.009184443303,1679.950645520329,33,3,16,900
Hurkacz H.,1587.8455962871897,1638.1236361534757,1652.5201274967953,1666.1694746151968,153,60,29,72
Dimitrov G.,1700.5456863072593,1598.7727095858017,1647.1004712919807,1665.8346344811462,147,53,24,146
Darderi L.,1496.822078967367,1705.4908948075777,1527.2183056215076,1663.9868432728451,44,92,14,22
Tirante T.A.,1583.591973946452,1625.6819625772375,1635.0393088904066,1656.7045360783854,14,37,1,65
Norrie C.,1653.862258690498,1615.6278309193399,1556.755582835896,1654.6745119118116,164,77,28,37
Berrettini M.,1612.0946857628203,1658.0197800824121,1627.5883393313964,1647.7836327745626,88,44,27,40
Tsitsipas S.,1602.7931922852854,1701.6682668288988,1556.9584591101648,1646.5305087060315,168,91,28,53
Vacherot V.,1621.2132506152323,1559.0251129835913,1644.7558126173685,1644.7558126173685,27,17,0,18
Kokkinakis T.,1624.6437832587687,1541.6372682193924,1593.6647390094386,1644.5127551981684,68,16,4,491
Michelsen A.,1665.630041247099,1508.7793779501735,1551.5190643696533,1643.6506827708508,103,28,26,42
Humbert U.,1646.7398524873545,1492.7268382098748,1571.3850535456577,1643.4370094600872,137,38,44,28
Halys Q.,1518.483036946512,1630.9812645994366,1518.1826440382742,1636.083827299485,80,32,22,83
Hanfmann Y.,1574.0361350105022,1596.5771706715032,1518.769395380682,1627.4676054132508,47,87,21,57
Borges N.,1563.3814746581286,1579.4828657622986,1529.0284173005782,1626.7181547438909,99,55,23,55
Merida Aguilar D.,1592.7701846904015,1589.9526663028055,1604.3598358031866,1620.6490797515312,6,15,1,63
Majchrzak K.,1575.3329858811335,1494.4190637084425,1595.8565822228152,1619.9498835998613,48,18,15,67
Mmoh M.,1617.7157049374555,1551.6050272016143,1591.4951467221008,1617.6899050439488,30,7,2,285
Navone M.,1457.691574428985,1621.972813481673,1524.1112854085864,1616.9506762650976,36,73,7,44
Blockx A.,1506.508277818636,1633.0215072222788,1583.3345291004389,1614.9503947358235,10,20,2,32
Bergs Z.,1564.9316987920026,1481.6603363095064,1549.841700275592,1604.4176725165137,72,26,20,34
Thompson J.,1595.5781889182151,1472.0653288218755,1573.4775081579437,1599.8282943244617,106,21,28,111
Rinderknech A.,1582.861474906623,1540.7858697662032,1529.4201093696659,1597.3116902228196,120,46,31,29
Molcan A.,1510.5825158365037,1602.8556528956206,1524.8605813531053,1596.9689619882415,31,51,10,81
Raonic M.,1581.2556704301994,1596.5616200089178,1561.4546723147184,1596.5616200089178,7,0,7,186
Prizmic D.,1529.1146570689375,1582.8353723214127,1573.8872746419906,1594.8237332379992,9,22,2,84
Fery A.,1551.7162259300526,1593.253029210951,1575.1834748070241,1593.253029210951,4,0,15,114
Nishikori K.,1556.6863678561301,1569.331520323328,1578.350901857385,1592.166762634633,33,5,1,721
Van De Zandschulp B.,1602.2747976232142,1531.97369826998,1503.2303466610874,1591.7972849843632,136,59,24,70
Cilic M.,1596.4543990276834,1505.45488543641,1557.6103397428296,1591.0289314495953,90,25,13,85
Tabilo A.,1577.4695015034586,1558.1860135614522,1535.5233485730955,1589.9208499180118,71,70,15,26
Marozsan F.,1577.0759704690847,1539.265323076479,1517.570637530948,1589.705480928665,87,41,20,61
Collignon R.,1562.6415596704828,1552.0474537712844,1535.9646941430492,1588.416370299095,19,15,6,38
Munar J.,1621.7416602838848,1490.7537746222984,1511.5135452268287,1587.534709953927,89,84,18,45
Shapovalov D.,1656.557387719181,1486.5876319349588,1496.7254940046073,1586.1934799301969,148,38,24,68
Shang J.,1553.8235037942552,1519.7731399575582,1556.278566942832,1584.4680416734484,68,6,5,281
Bonzi B.,1539.1371126727868,1516.52765908648,1517.283555094737,1581.8548602609255,88,16,21,103
Struff J.L.,1464.0161240089053,1548.3819805664045,1597.6981704345383,1578.761902068099,83,52,33,41
Buse I.,1541.543780429602,1586.1949592054602,1542.2728379654782,1574.793319715801,3,30,6,33
Khachanov K.,1559.4013114361765,1606.1676202404667,1562.1967310408018,1574.2316721552797,177,70,24,39
Atmane T.,1580.3418609928026,1496.0348079678363,1527.4593497960254,1571.1200467632343,39,17,5,46
Spizzirri E.,1565.5154294062,1558.3500050975936,1553.5459773690015,1568.5221181803224,18,1,2,91
Brooksby J.,1572.0736128034748,1509.808258231302,1543.7661898922786,1567.409880280591,84,18,23,74
Medjedovic H.,1520.8843761505764,1559.8534231438598,1522.1677888705285,1566.1614134961926,37,35,9,73
Baez S.,1493.339827470924,1565.642105220808,1480.40926121398,1562.403228649326,77,143,11,48
Cazaux A.,1514.2147318530365,1552.3416536243265,1532.615064592313,1560.8467949245905,41,13,5,73
Cerundolo J.M.,1521.4459716538279,1532.548479929325,1531.81932296121,1560.4280389782994,19,50,5,52
Griekspoor T.,1639.800296449268,1514.3856265481954,1555.5902268793939,1560.3300648120169,128,55,34,69
Opelka R.,1593.7632833900677,1484.097981988467,1536.2495625224064,1558.9189987627688,87,19,18,76
Droguet T.,1547.9335534159088,1535.9205320584533,1547.8431705284343,1556.669567664891,10,13,1,119
Etcheverry T.,1548.1040124283413,1589.7352990214972,1444.1066382462452,1556.2373481937639,87,109,17,30
Monfils G.,1623.1920407329487,1488.4240367852367,1530.9498872034887,1555.585827933726,120,23,11,347
Ruusuvuori E.,1564.3407703787639,1474.3407001424127,1517.6445694558224,1553.35918089197,97,30,20,608
Altmaier D.,1477.8615457605908,1499.303049593999,1495.4835654117712,1551.6193945234145,84,72,21,60
Wu Y.,1594.3808949029772,1499.8472267535765,1495.4043187974007,1550.4311502170867,37,11,7,102
Nishioka Y.,1537.316195239186,1499.4702725978423,1508.9988012654694,1549.5541214894852,107,18,8,173
Gea A.,1561.5791149855377,1531.1932340683309,1549.2051203686583,1549.2051203686583,9,2,0,127
Popyrin A.,1510.8521469880172,1569.745833254512,1443.8484530441003,1545.8383712258699,113,52,19,139
Gigante M.,1524.9930753100768,1537.389287410028,1544.3543621523236,1544.3543621523236,5,7,0,125
Arnaldi M.,1498.6694446652828,1603.8939959971533,1476.8237640473758,1543.964303189453,79,54,8,35
Fucsovics M.,1538.943558226499,1513.2433963498497,1549.554017223334,1543.302363497947,98,42,22,83
Diallo G.,1527.4945676949237,1523.0111633025494,1531.8538897264852,1542.8957488578487,54,14,20,108
Van Assche L.,1451.485449657111,1575.3982249056357,1514.1419266000385,1541.4234399295594,29,32,4,49
Quinn E.,1495.0348796215999,1472.4622895225439,1543.7052639835822,1540.150137902017,33,14,17,47
Shevchenko A.,1546.555845969994,1495.2719302634705,1494.3290203627805,1538.7280840313035,72,52,6,84
Simon G.,1521.4557385599999,1524.2801545611721,1528.3135948562833,1536.6135667562278,14,4,2,188
Kym J.,1530.9789450622616,1528.8886870967826,1536.5284539006939,1536.5284539006939,4,5,0,186
Sonego L.,1554.7708753150969,1445.2444109621383,1528.5395711571057,1535.45880855745,140,64,36,88
Safiullin R.,1532.6317961410716,1448.7213921569069,1519.977898346895,1534.130950647991,79,19,22,132
Pellegrino A.,1533.7709762030074,1528.1508447126262,1533.7709762030074,1533.7709762030074,0,13,0,138
Kopriva V.,1497.2623360483572,1521.8517814647737,1500.955932506206,1532.0448197297958,18,40,7,71
Wong C.,1544.5936039053847,1509.2932897978822,1526.1056249427088,1531.8526959019864,26,3,1,108
