player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches,current_rank,days_since_last_match,recent_form_residual
Knutson G.,1464.9576813827407,1474.1799138244862,1479.7783186472288,1459.5566372944575,,,,223.0,138.0,
Kobori M.,1486.114972032788,1493.49741495559,1493.49741495559,1486.99482991118,,,,470.0,307.0,
Koevermans A.,1494.1669544728234,1494.1669544728234,1486.7592488022765,1488.3339089456467,,,,190.0,445.0,
Konjuh A.,1414.6513700683026,1396.4560608630645,1440.6078779266163,1381.2157558532326,,,,508.0,467.0,-0.5406579979214186
Kontaveit A.,1596.6702990638712,1553.3118422446141,1534.0232206194758,1568.8773002686562,,,,81.0,1151.0,-0.2351103638085914
Korneeva A.,1562.005237180038,1526.6573534726322,1522.5637598930898,1562.8941127770606,,,,89.0,21.0,0.32096340586126565
Korpatsch T.,1521.4725929306992,1528.68587221207,1462.2141487859199,1536.2751266077498,,,,47.0,14.0,0.1378978075262972
Kostovic T.,1478.916413545698,1479.0414463823204,1482.503990094804,1473.574884169468,,,,184.0,62.0,
Kostyuk M.,1834.9495141040745,1834.012851444497,1721.4295981977932,1902.5562352803452,,,,11.0,8.0,-0.027761595291600383
Kotliar Y.,1492.37150597335,1485.6556563229747,1492.37150597335,1484.7430119467,,,,528.0,102.0,
Kovackova A.,1483.5442176062002,1491.785760436935,1491.785760436935,1483.5715208738704,,,,773.0,404.0,
Kovackova J.,1483.0962140727775,1491.700233168094,1491.700233168094,1483.400466336188,,,,553.0,40.0,
Kovinic D.,1450.6267367385099,1507.4659659011913,1478.703748041844,1474.1776358983304,,,,1289.0,591.0,-0.09437868382059977
Kozlova K.,1470.0495994718863,1485.0127690598524,1485.0127690598524,1470.0255381197046,,,,145.0,1756.0,0.01965885816487356
Kraus S.,1378.7526261928306,1408.3230182852217,1418.8279896418326,1366.75234307651,,,,85.0,15.0,-0.16198589303872665
Krejcikova B.,1721.57813528396,1585.3517321797096,1702.3297175422456,1737.3984718610116,,,,26.0,14.0,-0.07799817276766752
Krueger A.,1574.6663069962963,1529.695507031288,1554.0035775112524,1588.3388407783727,,,,56.0,17.0,0.012238879342112874
Krunic A.,1423.4520191219058,1434.42541004797,1453.7655962371628,1414.1632125976996,,,,363.0,411.0,-0.20596478639890525
Ku Y.,1468.2430305082603,1485.9771076426466,1485.9771076426466,1471.9542152852932,,,,305.0,349.0,
Kubka M.,1491.9962438382167,1484.090715877905,1491.9962438382167,1483.9924876764335,,,,472.0,1495.0,
Kucova K.,1395.702816934747,1407.81219471471,1437.8491322401237,1377.0425308685963,,,,507.0,1048.0,-0.23425736593964963
Kudermetova P.,1476.2639922006304,1447.4707083460185,1449.6624581820424,1458.7402146360437,,,,108.0,30.0,-0.016357356314986082
Kudermetova V.,1608.0909235679565,1592.6074577400473,1593.43307734146,1636.505838664065,,,,31.0,318.0,-0.20373043690691328
Kulambayeva Z.,1482.5641271217237,1491.2820635608618,1491.2820635608618,1482.5641271217237,,,,524.0,1798.0,
Kung L.,1492.036017739158,1482.9889984989914,1492.036017739158,1484.072035478316,,,,206.0,515.0,-0.21558772225199258
Kuzmova V.,1455.8144069510918,1480.2721007920584,1480.2721007920584,1460.5442015841168,,,,134.0,1332.0,-0.05683933521952539
Kvitova P.,1588.1473202579677,1506.9453985325435,1591.281848987338,1569.058996087843,,,,543.0,370.0,-0.46627618011520205
Lamens S.,1486.805117758395,1489.6849596233544,1479.2673711556085,1489.4877428099933,,,,134.0,75.0,-0.31426484558718837
Lansere S.,1494.7531718749328,1487.672008004636,1493.6993037534435,1487.398607506887,,,,271.0,1053.0,
Lapko V.,1500.026049090677,1499.9959629241423,1499.9959629241423,1499.9919258482846,,,,408.0,1796.0,-0.1871813334872967
Laskutova K.,1479.5729503396592,1489.343321827078,1489.343321827078,1478.6866436541561,,,,366.0,712.0,
