player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches
Krueger M.,1420.4146109892567,1413.5806402659252,1413.5806402659252,1413.5806402659252,17,2,3
Andujar P.,1464.0460387982705,1453.3624482739071,1413.3132379605393,1413.3132379605393,17,13,1
Grenier H.,1416.3296860876942,1410.6222480731763,1410.6222480731763,1410.6222480731763,15,8,2
Albot R.,1465.1769214091785,1445.9072084420004,1409.7145804143865,1409.7145804143865,34,11,8
Ramanathan R.,1409.0833453413036,1409.0833453413036,1409.0833453413036,1409.0833453413036,6,0,0
Gojowczyk P.,1422.2037326394427,1407.3175939816317,1407.3175939816317,1407.3175939816317,24,1,6
Coria F.,1362.7243863264127,1470.4282073069135,1405.4059495755503,1405.4059495755503,21,65,3
Novak D.,1403.845308498065,1403.845308498065,1403.845308498065,1403.845308498065,6,5,3
Zeppieri G.,1402.5979915840787,1447.7257077955785,1402.5979915840787,1402.5979915840787,9,15,1
Bedene A.,1399.69494924002,1399.69494924002,1399.69494924002,1399.69494924002,3,9,2
Cachin P.,1380.601671722955,1444.0965830088435,1395.7801111084984,1395.7801111084984,20,42,2
Querrey S.,1392.7861064597766,1395.7358767429425,1395.7358767429425,1395.7358767429425,11,2,7
Coric B.,1409.6524890119829,1505.489520512079,1395.560668033285,1395.560668033285,63,29,5
Marterer M.,1411.7381525810536,1444.822817642387,1391.6928343528925,1391.6928343528925,21,11,7
Martinez P.,1372.5615676578404,1455.6608948985279,1426.275502136772,1388.8379031368422,68,85,11
Daniel T.,1418.090528619367,1427.6524873656163,1388.3485642595394,1388.3485642595394,75,19,6
Ramos-Vinolas A.,1352.3186846885087,1450.9022813024033,1387.0197877173819,1387.0197877173819,38,72,4
Gaston H.,1421.597348088396,1434.110445040847,1386.896486680123,1386.896486680123,49,48,8
Laaksonen H.,1414.1155748841772,1386.1085759144403,1386.1085759144403,1386.1085759144403,15,7,1
Galan D.E.,1406.472752337589,1394.4966966187023,1383.5791037862627,1383.5791037862627,33,45,8
Barrios M.,1383.1866520614603,1405.1533010273208,1383.1866520614603,1383.1866520614603,5,17,2
Holt B.,1383.7613899230946,1381.7839987227014,1381.7839987227014,1381.7839987227014,14,1,3
Sousa J.,1429.687829982472,1455.6498117587505,1380.2892502405052,1380.2892502405052,18,24,4
Kudla D.,1402.8579355210377,1379.3840532377353,1379.3840532377353,1379.3840532377353,37,5,6
Cressy M.,1444.4691679536302,1379.6474864843067,1500.700372053798,1379.2945501217946,58,11,24
Delbonis F.,1342.8663713881338,1448.7099078677825,1374.5180711250098,1374.5180711250098,13,31,2
Lestienne C.,1416.4789064596969,1372.979444169382,1372.979444169382,1372.979444169382,39,3,7
Nagal S.,1384.5772364350178,1464.3579089832706,1372.3807044615282,1372.3807044615282,12,13,1
Dellien H.,1371.3154687521846,1417.5162763396675,1371.3154687521846,1371.3154687521846,5,39,3
Zapata Miralles B.,1334.1194837181745,1498.1680118809056,1365.9442512991423,1365.9442512991423,26,47,5
Tseng C.H.,1414.0538911813496,1364.7448314189228,1364.7448314189228,1364.7448314189228,13,9,3
Huesler M.A.,1417.8671109086663,1407.440698969886,1357.4477252869128,1357.4477252869128,34,17,8
Verdasco F.,1380.6493112133414,1470.0013649456728,1349.4723111279839,1349.4723111279839,11,10,1
Lopez F.,1378.8787039206582,1336.763533612361,1336.763533612361,1336.763533612361,12,5,8
Paire B.,1411.53642243135,1364.3162515400932,1327.2348604734818,1327.2348604734818,32,18,4
