tour,round,date,bet_on,opponent,model_prob,market_prob,edge_pp,real_decimal_odds,won,stake_flat,pnl_flat,stake_kelly_0.25,pnl_kelly_0.25,event,bet_on_hard_elo_frozen,bet_on_overall_elo_frozen,opponent_hard_elo_frozen,opponent_overall_elo_frozen,model_prob_recomputed,model_prob_diff
WTA,1st Round,14/08/2026,Bondar A.,Bouzas Maneiro J.,0.5154387099693586,0.4040920716112532,11.134663835810535,2.38,False,1.0,-1.0,4.671302102791761,-4.671302102791761,Cincinnati,1515.9175572468196,1572.5957145680347,1509.027438407686,1559.027438407686,0.5156800391773014,0.00024132920794284196
WTA,1st Round,14/08/2026,Korpatsch T.,Joint M.,0.440960177399409,0.3294117647058823,11.154841269352666,3.0,True,1.0,2.0,4.158603104802529,8.317206209605057,Cincinnati,1505.0457031164142,1535.1745920890253,1554.092729704966,1551.8215476562186,0.4403516771954037,0.0006085002040053245
WTA,2nd Round,16/08/2026,Korpatsch T.,Jovic I.,0.2629461449397273,0.1231300345224395,13.981611041728776,8.5,False,1.0,-1.0,3.986227032566373,-3.986227032566373,Cincinnati,1505.0457031164142,1535.1745920890253,1697.2679015260428,1747.2679015260428,0.2585790580995458,0.0043670868401815
WTA,3rd Round,2026-08-07,Rybakina E.,Li A.,0.9369982135145644,0.8272727272727273,10.97254862418372,1.15,True,1.0,0.1499999999999999,15.881320377108016,2.382198056566201,Canadian Open,1986.6373076043735,1936.6373076043735,1529.9226767820182,1558.0210542626264,0.9384762659824308,0.0014780524678664753
WTA,4th Round,2026-08-09,Rybakina E.,Samsonova L.,0.8933081963176799,0.7195652173913043,17.374297892637557,1.33,True,1.0,0.33,15.488715175607124,5.111276007950352,Canadian Open,1986.6373076043735,1936.6373076043735,1564.9076140772677,1613.5141406419696,0.8956514409403026,0.0023432446226226977
WTA,4th Round,2026-08-09,Sabalenka A.,Alexandrova E.,0.9300447298085568,0.8217054263565892,10.833930345196771,1.17,False,1.0,-1.0,15.191054505765042,-15.191054505765042,Canadian Open,2086.7438964283847,2037.2559963763097,1600.991312447524,1617.0963979214614,0.9315209045086211,0.0014761747000643366
ATP,2nd Round,05/08/2026,Fils A.,Svajda Z.,0.8647219239175873,0.7230443974630022,14.16775264545851,1.33,True,1.0,0.33,12.788830155156251,4.220313951201565,Canadian Open,1789.8698203985914,1839.8698203985916,1457.046341424769,1507.046341424769,0.8647219239175873,0.0
WTA,Quarterfinals,2026-08-12,Rybakina E.,Osaka N.,0.7057063489075502,0.493368700265252,21.23376486422982,2.25,True,1.0,1.25,10.477918002375189,13.097397502968985,Canadian Open,1986.6373076043735,1936.6373076043735,1807.838012237406,1857.838012237406,0.7032747151220727,0.002431633785477505
WTA,1st Round,2026-08-02,Bucsa C.,Uchijima M.,0.7427175603933286,0.5575916230366492,18.512593735667934,1.8,False,1.0,-1.0,10.461258590273893,-10.461258590273893,Canadian Open,1559.2945186974025,1527.2062386261896,1369.037656801106,1370.2257847095505,0.741258197784396,0.0014593626089326461
ATP,1st Round,04/08/2026,Shapovalov D.,Svajda Z.,0.747151390223789,0.5792207792207792,16.793061100300978,1.67,False,1.0,-1.0,9.97735883274055,-9.97735883274055,Canadian Open,1656.0782189857532,1606.0782189857532,1457.046341424769,1507.046341424769,0.7471513902237891,1.1102230246251565e-16
WTA,The Final,2026-08-13,Rybakina E.,Swiatek I.,0.6677685232406279,0.4566929133858268,21.1075609854801,2.15,False,1.0,-1.0,9.71253712013034,-9.71253712013034,Canadian Open,1986.6373076043735,1936.6373076043735,1851.1040639967644,1881.689151256901,0.6741708154857065,0.0064022922450786
ATP,1st Round,04/08/2026,Draper J.,Atmane T.,0.7830919149431499,0.65625,12.68419149431499,1.5,False,1.0,-1.0,9.224866541319992,-9.224866541319992,Canadian Open,1824.7370381383407,1817.0744067092076,1547.407834468579,1537.2285056146682,0.7830919149431499,0.0
WTA,Semifinals,2026-08-13,Rybakina E.,Gauff C.,0.6336238759864495,0.4355670103092783,19.80568656771712,2.25,True,1.0,1.25,8.772381721774249,10.965477152217812,Canadian Open,1986.6373076043735,1936.6373076043735,1878.221787028138,1917.9332586034975,0.63859851378668,0.0049746378002304414
WTA,4th Round,2026-08-08,Pegula J.,Shnaider D.,0.8104650975839834,0.7096069868995633,10.08581106844202,1.38,False,1.0,-1.0,8.68289749877151,-8.68289749877151,Canadian Open,1937.050289719163,1957.5084355324784,1669.1569288906062,1719.1569288906062,0.8073783160302797,0.003086781553703788
WTA,2nd Round,2026-08-05,Krejcikova B.,Samsonova L.,0.7321650414708779,0.5902061855670103,14.19588559038676,1.62,False,1.0,-1.0,8.66038303312903,-8.66038303312903,Canadian Open,1754.8414467453683,1790.8839673332536,1564.9076140772677,1613.5141406419696,0.7301010351209924,0.002064006349885461
ATP,1st Round,04/08/2026,Brooksby J.,Walton A.,0.6791897679623546,0.537037037037037,14.215273092531769,1.83,True,1.0,0.8300000000000001,7.676247469967152,6.371285400072737,Canadian Open,1571.4232159330602,1565.8479448508515,1449.3330842504888,1464.8294382878198,0.6791897679623546,0.0
