player,tour,status,hand,backhand,wikipedia_title,raw_plays,height_cm,height_status,birth_year,birth_year_status
Brouwer G.,ATP,resolved,Left-handed,two-handed,Gijs Brouwer,Left-handed (two-handed backhand),191.0,resolved,1996,resolved
Bu Y.,ATP,resolved,Right-handed,two-handed,Bu Yunchaokete,Right-handed (two-handed backhand),185.0,resolved,2002,resolved
Bublik A.,ATP,resolved,Right-handed,two-handed,Alexander Bublik,Right-handed (two-handed backhand),196.0,resolved,1997,resolved
Budkov Kjaer N.,ATP,resolved,Right-handed,two-handed,Nicolai Budkov Kjær,Right handed (two-handed backhand),191.0,resolved,2006,resolved
Bueno G.,ATP,no_infobox,,,Gonzalo Bueno,,,missing_height_field,,missing_birth_date_field
Burruchaga R.,ATP,resolved,Right-handed,two-handed,Román Andrés Burruchaga,Right-handed (two-handed backhand),183.0,resolved,2002,resolved
Buse I.,ATP,resolved,Right-handed,two-handed,Ignacio Buse,Right-handed (two-handed backhand),183.0,resolved,2004,resolved
Butvilas E.,ATP,resolved,Right-handed,two-handed,Edas Butvilas,Right-handed (two-handed backhand),191.0,resolved,2004,resolved
Cachin P.,ATP,resolved,Right-handed,two-handed,Pedro Cachin,Right-handed (two handed-backhand),185.0,resolved,1995,resolved
Cadenasso G.,ATP,resolved,Right-handed,two-handed,Gianluca Cadenasso,Right-handed (two-handed backhand),175.0,resolved,2004,resolved
Carballes Baena R.,ATP,resolved,Right-handed,two-handed,Roberto Carballés Baena,Right-handed (two-handed backhand),183.0,resolved,1993,resolved
Carreno Busta P.,ATP,resolved,Right-handed,two-handed,Pablo Carreño Busta,Right-handed (two-handed backhand),188.0,resolved,1991,resolved
Caruso S.,ATP,resolved,Right-handed,two-handed,Salvatore Caruso,Right-handed <br/>(two-handed backhand),185.0,resolved,1992,resolved
Casanova H.,ATP,resolved,Right-handed,two-handed,Hernán Casanova,Right-handed (two-handed backhand),178.0,resolved,1994,resolved
Cassone M.,ATP,resolved,Right-handed,two-handed,Murphy Cassone,Right-handed (two-handed backhand),188.0,resolved,2002,resolved
Catarina L.,ATP,resolved,Right-handed,two-handed,Lucas Catarina,Right-handed (two-handed backhand),185.0,resolved,1996,resolved
Cazaux A.,ATP,resolved,Right-handed,two-handed,Arthur Cazaux,Right-handed (two-handed backhand),183.0,resolved,2002,resolved
Cecchinato M.,ATP,resolved,Right-handed,one-handed,Marco Cecchinato,Right-handed (one-handed backhand),185.0,resolved,1992,resolved
Celikbilek A.,ATP,resolved,Right-handed,two-handed,Altuğ Çelikbilek,Right-handed (two-handed backhand),183.0,resolved,1996,resolved
Cerundolo F.,ATP,resolved,Right-handed,two-handed,Francisco Cerúndolo,Right-handed (two-handed backhand),185.0,resolved,1998,resolved
Cerundolo J.M.,ATP,resolved,Left-handed,two-handed,Juan Manuel Cerúndolo,Left-handed (two-handed backhand),183.0,resolved,2001,resolved
Chan D.,ATP,resolved,Right-handed,two-handed,Duncan Chan,Right-handed (two-handed backhand),183.0,resolved,2005,resolved
Chappell N.,ATP,resolved,Left-handed,two-handed,Nick Chappell,Left-handed (two-handed backhand),178.0,resolved,1992,resolved
Chardy J.,ATP,resolved,Right-handed,two-handed,Jérémy Chardy,Right-handed (two-handed backhand),188.0,resolved,1987,resolved
Chidekh C.,ATP,resolved,Right-handed,two-handed,Clément Chidekh,Right-handed (two-handed backhand),180.0,resolved,2001,resolved
Choinski J.,ATP,resolved,Right-handed,two-handed,Jan Choinski,Right-handed (two-handed backhand),196.0,resolved,1996,resolved
Chung Y.,ATP,unresolved_name,,,,,,,,
Cilic M.,ATP,resolved,Right-handed,two-handed,Marin Čilić,Right-handed (two-handed backhand),198.0,resolved,1988,resolved
Cina F.,ATP,resolved,Right-handed,two-handed,Federico Cinà,Right-handed (two-handed backhand),185.0,resolved,2007,resolved
Clarke J.,ATP,unresolved_name,,,,,,,,
Cobolli F.,ATP,resolved,Right-handed,two-handed,Flavio Cobolli,Right-handed (two-handed backhand),183.0,resolved,2002,resolved
Collarini A.,ATP,resolved,Left-handed,two-handed,Andrea Collarini,Left-handed (two-handed backhand),185.4,resolved,1992,resolved
Collignon R.,ATP,resolved,Right-handed,two-handed,Raphaël Collignon,Right-handed (two-handed backhand),191.0,resolved,2002,resolved
Comesana F.,ATP,resolved,Right-handed,two-handed,Francisco Comesaña,Right-handed (two-handed backhand),178.0,resolved,2000,resolved
Copil M.,ATP,resolved,Right-handed,one-handed,Marius Copil,Right-handed (one-handed backhand),193.0,resolved,1990,resolved
Coppejans K.,ATP,resolved,Right-handed,two-handed,Kimmer Coppejans,Right-handed (two-handed backhand),178.0,resolved,1994,resolved
