player,tour,status,hand,backhand,wikipedia_title,raw_plays,height_cm,height_status,birth_year,birth_year_status
Rinderknech A.,ATP,resolved,Right-handed,two-handed,Arthur Rinderknech,Right-handed (two-handed backhand),196.0,resolved,1995,resolved
Ritschard A.,ATP,resolved,Right-handed,two-handed,Alexander Ritschard,Right-handed (two-handed backhand),193.0,resolved,1994,resolved
Robredo T.,ATP,resolved,Right-handed,one-handed,Tommy Robredo,Right-handed (one-handed backhand),180.0,resolved,1982,resolved
Roca Batalla O.,ATP,resolved,Right-handed,one-handed,Oriol Roca Batalla,Right-handed (one handed-backhand),,missing_height_field,1993,resolved
Rocha H.,ATP,resolved,Right-handed,two-handed,Henrique Rocha,"Right handed, two-handed backhand",180.0,resolved,2004,resolved
Rodesch C.,ATP,resolved,Right-handed,two-handed,Chris Rodesch,Right-Handed (Two-Handed Backhand),,missing_height_field,2001,resolved
Rodionov J.,ATP,resolved,Left-handed,two-handed,Jurij Rodionov,Left-handed (two-handed backhand),191.0,resolved,1999,resolved
Rodriguez Taverna S.,ATP,resolved,Right-handed,two-handed,Santiago Rodríguez Taverna,Right-handed (two-handed backhand),191.0,resolved,1999,resolved
Rosol L.,ATP,resolved,Right-handed,two-handed,Lukáš Rosol,Right-handed <br />(two-handed backhand),193.0,resolved,1985,resolved
Rottgering M.,ATP,resolved,Left-handed,two-handed,Mees Röttgering,Left-handed (two-handed backhand),180.0,resolved,2007,resolved
Royer V.,ATP,resolved,Right-handed,two-handed,Valentin Royer,"Right-handed, two handed backhand",188.0,resolved,2001,resolved
Rublev A.,ATP,resolved,Right-handed,two-handed,Andrey Rublev,Right-handed (two-handed backhand),188.0,resolved,1997,resolved
Rune H.,ATP,resolved,Right-handed,two-handed,Holger Rune,Right-handed (two-handed backhand),188.0,resolved,2003,resolved
Ruud C.,ATP,resolved,Right-handed,two-handed,Casper Ruud,Right-handed (two-handed backhand),183.0,resolved,1998,resolved
Ruusuvuori E.,ATP,resolved,Right-handed,two-handed,Emil Ruusuvuori,Right-handed (two-handed backhand),188.0,resolved,1999,resolved
Rybakov A.,ATP,resolved,Left-handed,one-handed,Alex Rybakov,Left-handed (one-handed backhand),185.4,resolved,1997,resolved
Sachko V.,ATP,resolved,Right-handed,two-handed,Vitaliy Sachko,Right-handed (two-handed backhand),188.0,resolved,1997,resolved
Safiullin R.,ATP,resolved,Right-handed,two-handed,Roman Safiullin,Right-handed (two-handed backhand),185.0,resolved,1997,resolved
Sakamoto R.,ATP,unresolved_name,,,,,,,,
Sakellaridis S.,ATP,resolved,Right-handed,two-handed,Stefanos Sakellaridis,Right-handed (two-handed backhand),198.0,resolved,2004,resolved
Samrej K.,ATP,missing_plays_field,,,Kasidit Samrej,,,missing_height_field,2001,resolved
Samuel T.,ATP,resolved,Right-handed,two-handed,Toby Samuel,Right-handed (two-handed backhand),191.0,resolved,2002,resolved
Sanchez Izquierdo N.,ATP,resolved,Right-handed,two-handed,Nikolás Sánchez Izquierdo,Right-handed (two handed-backhand),185.0,resolved,1999,resolved
Sandgren T.,ATP,resolved,Right-handed,two-handed,Tennys Sandgren,Right-handed (two-handed backhand),188.0,resolved,1991,resolved
Saville L.,ATP,resolved,Right-handed,two-handed,Luke Saville,Right-handed (two-handed backhand),188.0,resolved,1994,resolved
Schnur B.,ATP,resolved,Right-handed,two-handed,Brayden Schnur,Right-handed (two-handed backhand),194.0,resolved,1995,resolved
Schoenhaus M.,ATP,unresolved_name,,,,,,,,
Schoolkate T.,ATP,resolved,Right-handed,two-handed,Tristan Schoolkate,Right-handed (two-handed backhand),183.0,resolved,2001,resolved
Schwaerzler J.,ATP,unresolved_name,,,,,,,,
Schwaerzler J.J.,ATP,unresolved_name,,,,,,,,
Schwartzman D.,ATP,resolved,Right-handed,two-handed,Diego Schwartzman,Right-handed (two-handed backhand),170.0,resolved,1992,resolved
Searle H.,ATP,resolved,Left-handed,two-handed,Henry Searle (tennis),Left-handed (two-handed backhand),193.0,resolved,2006,resolved
Sekulic P.,ATP,resolved,Right-handed,two-handed,Philip Sekulic,Right-handed (two-handed backhand),191.0,resolved,2003,resolved
Sell K.,ATP,resolved,Right-handed,two-handed,Karuê Sell,Right-handed (two-handed backhand),183.0,resolved,1993,resolved
Seppi A.,ATP,resolved,Right-handed,two-handed,Andreas Seppi,Right-handed (two-handed backhand),191.0,resolved,1984,resolved
Serdarusic N.,ATP,resolved,Right-handed,two-handed,Nino Serdarušić,Right-handed (two-handed backhand),191.0,resolved,1996,resolved
Sesko Z.,ATP,resolved,Right-handed,two-handed,Žiga Šeško,Right-handed (two-handed backhand),192.0,resolved,2008,resolved
Seyboth Wild T.,ATP,resolved,Right-handed,two-handed,Thiago Seyboth Wild,Right-handed (two-handed backhand),185.0,resolved,2000,resolved
Shang J.,ATP,unresolved_name,,,,,,,,
Shapovalov D.,ATP,resolved,Left-handed,one-handed,Denis Shapovalov,Left-handed (one-handed backhand),185.0,resolved,1999,resolved
Shelbayh A.,ATP,resolved,Left-handed,two-handed,Abdullah Shelbayh,Left-handed (two-handed backhand),180.0,resolved,2003,resolved
Shelton B.,ATP,resolved,Left-handed,two-handed,Ben Shelton,Left-handed (two-handed backhand),193.0,resolved,2002,resolved
Shevchenko A.,ATP,resolved,Right-handed,two-handed,Alexander Shevchenko (tennis),Right-handed (two handed-backhand),188.0,resolved,2000,resolved
Shimabukuro S.,ATP,resolved,Right-handed,two-handed,Sho Shimabukuro,Right-handed (two-handed backhand),180.0,resolved,1997,resolved
Shimizu Y.,ATP,resolved,Left-handed,two-handed,Yuta Shimizu,Left-handed (two-handed backhand),163.0,resolved,1999,resolved
Simon G.,ATP,resolved,Right-handed,two-handed,Gilles Simon,Right-handed (two-handed backhand),183.0,resolved,1984,resolved
Sinner J.,ATP,resolved,Right-handed,two-handed,Jannik Sinner,Right-handed (two-handed backhand),191.0,resolved,2001,resolved
Skatov T.,ATP,resolved,Right-handed,two-handed,Timofey Skatov,Right-handed (two-handed backhand),175.0,resolved,2001,resolved
Smith C.,ATP,resolved,Right-handed,two-handed,Colton Smith (tennis),Right-handed (two-handed backhand),182.9,resolved,2003,resolved
Sock J.,ATP,resolved,Right-handed,two-handed,Jack Sock,Right-handed <br />(two-handed backhand),191.0,resolved,1992,resolved
Sonego L.,ATP,resolved,Right-handed,two-handed,Lorenzo Sonego,Right-handed (two-handed backhand),191.0,resolved,1995,resolved
Soto M.,ATP,unresolved_name,,,,,,,,
Sousa J.,ATP,unresolved_name,,,,,,,,
Sousa P.,ATP,resolved,Right-handed,two-handed,Pedro Sousa,Right-handed (two-handed backhand),180.0,resolved,1988,resolved
Spizzirri E.,ATP,resolved,Right-handed,two-handed,Eliot Spizzirri,Right-handed (two-handed backhand),185.4,resolved,2001,resolved
Squire H.,ATP,resolved,Right-handed,two-handed,Henri Squire,Right-handed (two-handed backhand),196.0,resolved,2000,resolved
Stebe C.M.,ATP,resolved,Left-handed,two-handed,Cedrik-Marcel Stebe,Left-handed (two-handed backhand),180.0,resolved,1990,resolved
Stewart H.,ATP,unresolved_name,,,,,,,,
Stricker D.,ATP,resolved,Left-handed,two-handed,Dominic Stricker,Left-handed (two-handed backhand),183.0,resolved,2002,resolved
Struff J.L.,ATP,resolved,Right-handed,two-handed,Jan-Lennard Struff,Right-handed (two-handed backhand),193.0,resolved,1990,resolved
Sugita Y.,ATP,resolved,Right-handed,two-handed,Yūichi Sugita,Right-handed (two-handed backhand),175.0,resolved,1988,resolved
Sun F.,ATP,unresolved_name,,,,,,,,
Suresh D.,ATP,resolved,Right-handed,two-handed,Dhakshineswar Suresh,Right-handed (two-handed backhand),196.0,resolved,2000,resolved
Svajda T.,ATP,resolved,Right-handed,two-handed,Trevor Svajda,Right-handed (two-handed backhand),175.3,resolved,2006,resolved
Svajda Z.,ATP,resolved,Right-handed,two-handed,Zachary Svajda,Right-handed (two-handed backhand),175.3,resolved,2002,resolved
Svrcina D.,ATP,resolved,Right-handed,two-handed,Dalibor Svrčina,Right-handed (two-handed backhand),178.0,resolved,2002,resolved
Sweeny D.,ATP,resolved,Right-handed,two-handed,Dane Sweeny,Right-handed (Two-Handed Backhand),170.0,resolved,2001,resolved
Taberner C.,ATP,resolved,Right-handed,two-handed,Carlos Taberner,Right-handed (two-handed backhand),183.0,resolved,1997,resolved
Tabilo A.,ATP,resolved,Left-handed,two-handed,Alejandro Tabilo,Left-handed (two-handed backhand),188.0,resolved,1997,resolved
Tabur C.,ATP,resolved,Right-handed,two-handed,Clément Tabur,Right-handed (two-handed backhand),173.0,resolved,2000,resolved
Tarvet O.,ATP,hand_only_no_backhand,Right-handed,,Oliver Tarvet,Right-handed,,missing_height_field,2003,resolved
Te R.,ATP,unresolved_name,,,,,,,,
Thiem D.,ATP,resolved,Right-handed,one-handed,Dominic Thiem,Right-handed (one-handed backhand),185.0,resolved,1993,resolved
Thompson J.,ATP,resolved,Right-handed,two-handed,Jordan Thompson (tennis),Right-handed (two-handed backhand),183.0,resolved,1994,resolved
Tiafoe F.,ATP,resolved,Right-handed,two-handed,Frances Tiafoe,Right-handed (two-handed backhand),188.0,resolved,1998,resolved
Tien L.,ATP,resolved,Left-handed,two-handed,Learner Tien,Left-handed (two-handed backhand),180.3,resolved,2005,resolved
Tirante T. A.,ATP,resolved,Right-handed,two-handed,Thiago Agustín Tirante,Right-handed (two-handed backhand),185.0,resolved,2001,resolved
Tirante T.A.,ATP,resolved,Right-handed,two-handed,Thiago Agustín Tirante,Right-handed (two-handed backhand),185.0,resolved,2001,resolved
Tiurnev E.,ATP,resolved,Right-handed,two-handed,Evgenii Tiurnev,Right-handed (two-handed backhand),,missing_height_field,1997,resolved
Tomic B.,ATP,resolved,Right-handed,two-handed,Bernard Tomic,Right-handed (two-handed backhand),196.0,resolved,1992,resolved
Topo M.,ATP,resolved,Right-handed,two-handed,Marko Topo,Right-handed (two-handed backhand),185.0,resolved,2003,resolved
Torres T.,ATP,resolved,Left-handed,two-handed,Tiago Torres,Left-handed (two-handed backhand),175.0,resolved,2002,resolved
Travaglia S.,ATP,hand_only_no_backhand,Right-handed,,Stefano Travaglia,Right-handed (two–handed backhand),185.0,resolved,1991,resolved
Trotter J.K.,ATP,unresolved_name,,,,,,,,
Trungelliti M.,ATP,resolved,Right-handed,two-handed,Marco Trungelliti,Right-handed (two-handed backhand),178.0,resolved,1990,resolved
Tseng C. H.,ATP,unresolved_name,,,,,,,,
Tseng C.H.,ATP,no_infobox,,,Chuen Shui Tseng,,,missing_height_field,,missing_birth_date_field
Tsitsipas S.,ATP,resolved,Right-handed,one-handed,Stefanos Tsitsipas,Right-handed (one-handed backhand),193.0,resolved,1998,resolved
Tsonga J.W.,ATP,resolved,Right-handed,two-handed,Jo-Wilfried Tsonga,Right-handed (two-handed backhand),188.0,resolved,1985,resolved
Tu L.,ATP,resolved,Right-handed,one-handed,Li Tu,Right-handed (one-handed backhand),183.0,resolved,1996,resolved
Turcanu R.D.,ATP,resolved,Left-handed,two-handed,Radu David Țurcanu,Left-handed (two-handed backhand),185.0,resolved,2006,resolved
Uchida K.,ATP,resolved,Right-handed,two-handed,Kaichi Uchida,Right-handed (two handed-backhand),180.0,resolved,1994,resolved
Uchiyama Y.,ATP,resolved,Right-handed,two-handed,Yasutaka Uchiyama,Right-handed (two-handed backhand),183.0,resolved,1992,resolved
Ugo Carabelli C.,ATP,resolved,Right-handed,two-handed,Camilo Ugo Carabelli,Right-handed (two-handed backhand),185.0,resolved,1999,resolved
Vacherot V.,ATP,resolved,Right-handed,two-handed,Valentin Vacherot,Right-handed (two-handed backhand),193.0,resolved,1998,resolved
Valkusz M.,ATP,resolved,Right-handed,two-handed,Máté Valkusz,Right-handed (two handed-backhand),183.0,resolved,1998,resolved
Vallejo D.,ATP,no_infobox,,,Álex Vallejo,,191.0,resolved,1992,resolved
Van Assche L.,ATP,resolved,Right-handed,two-handed,Luca Van Assche,Right-handed (two-handed backhand),178.0,resolved,2004,resolved
Van De Zandschulp B.,ATP,resolved,Right-handed,two-handed,Botic van de Zandschulp,Right-handed (two-handed backhand),191.0,resolved,1995,resolved
Van Rijthoven T.,ATP,resolved,Right-handed,one-handed,Tim van Rijthoven,Right-handed (one-handed backhand),188.0,resolved,1997,resolved
Vandecasteele Q.,ATP,resolved,Right-handed,two-handed,Quinn Vandecasteele,Right-handed (two-handed backhand),190.5,resolved,2002,resolved
Varillas J. P.,ATP,resolved,Right-handed,two-handed,Juan Pablo Varillas,Right-handed (two-handed backhand),185.0,resolved,1995,resolved
Varillas J.P.,ATP,resolved,Right-handed,two-handed,Juan Pablo Varillas,Right-handed (two-handed backhand),185.0,resolved,1995,resolved
Vatutin A.,ATP,resolved,Right-handed,two-handed,Alexey Vatutin,Right-handed (two handed-backhand),178.0,resolved,1992,resolved
Vavassori A.,ATP,resolved,Right-handed,one-handed,Andrea Vavassori,Right-handed (one-handed backhand),193.0,resolved,1995,resolved
Verdasco F.,ATP,resolved,Left-handed,two-handed,Fernando Verdasco,Left-handed (two-handed backhand),188.0,resolved,1983,resolved
Vesely J.,ATP,resolved,Left-handed,two-handed,Jiří Veselý,Left-handed <br/>(two-handed backhand),198.0,resolved,1993,resolved
Villanueva G.,ATP,resolved,Right-handed,two-handed,Gonzalo Villanueva,Right-handed (two-handed backhand),175.0,resolved,1995,resolved
Virtanen O.,ATP,resolved,Right-handed,two-handed,Otto Virtanen,Right-handed (two-handed backhand),193.0,resolved,2001,resolved
Vukic A.,ATP,resolved,Right-handed,two-handed,Aleksandar Vukic,Right-handed (two-handed backhand),188.0,resolved,1996,resolved
Walton A.,ATP,resolved,Right-handed,two-handed,Adam Walton,Right-handed (two-handed backhand),183.0,resolved,1999,resolved
Watanuki Y.,ATP,resolved,Right-handed,two-handed,Yosuke Watanuki,Right-handed (two handed-backhand),180.0,resolved,1998,resolved
Watt J.,ATP,unresolved_name,,,,,,,,
Wawrinka S.,ATP,resolved,Right-handed,one-handed,Stan Wawrinka,Right-handed (one-handed backhand),183.0,resolved,1985,resolved
Wendelken H.,ATP,resolved,Right-handed,two-handed,Harry Wendelken,Right-handed (two-handed backhand),178.0,resolved,2001,resolved
Wessels L.,ATP,hand_only_no_backhand,Right-handed,,Louis Wessels,Right-handed (two-anded backhand),198.0,resolved,1998,resolved
Winter E.,ATP,unresolved_name,,,,,,,,
Wolf J.J.,ATP,resolved,Right-handed,two-handed,J. J. Wolf,Right-handed (two handed-backhand),182.9,resolved,1998,resolved
Wong C.,ATP,resolved,Right-handed,two-handed,Coleman Wong,Right-handed (two-handed backhand),191.0,resolved,2004,resolved
Wu T.L.,ATP,unresolved_name,,,,,,,,
Wu Y.,ATP,resolved,Right-handed,two-handed,Wu Yibing,Right-handed (two-handed backhand),183.0,resolved,1999,resolved
Yevseyev D.,ATP,resolved,Right-handed,two-handed,Denis Yevseyev,Right-handed (two-handed backhand),188.0,resolved,1993,resolved
Ymer E.,ATP,resolved,Right-handed,two-handed,Elias Ymer,Right-handed (two handed-backhand),185.0,resolved,1996,resolved
Ymer M.,ATP,resolved,Right-handed,two-handed,Mikael Ymer,Right-handed (two-handed backhand),185.0,resolved,1998,resolved
Zahraj P.,ATP,resolved,Right-handed,two-handed,Patrick Zahraj,Right-handed (two-handed backhand),188.0,resolved,1999,resolved
Zapata Miralles B.,ATP,resolved,Right-handed,two-handed,Bernabé Zapata Miralles,Right-handed (two-handed backhand),183.0,resolved,1997,resolved
Zeppieri G.,ATP,resolved,Left-handed,two-handed,Giulio Zeppieri,Left-handed (two-handed backhand),183.0,resolved,2001,resolved
Zhang Zh.,ATP,unresolved_name,,,,,,,,
Zheng M.,ATP,resolved,Right-handed,two-handed,Michael Zheng,Right-handed (two-handed backhand),188.0,resolved,2004,resolved
Zhou Y.,ATP,no_infobox,,,Yi Zhou,,,missing_height_field,1978,resolved
Zhukayev B.,ATP,resolved,Right-handed,two-handed,Beibit Zhukayev,Right-handed (two-handed backhand),198.0,resolved,2000,resolved
Zuk K.,ATP,resolved,Right-handed,two-handed,Kacper Żuk,Right-handed (two-handed backhand),183.0,resolved,1999,resolved
Zverev A.,ATP,resolved,Right-handed,two-handed,Alexander Zverev,Right-handed (two-handed backhand),198.0,resolved,1997,resolved
Abduraimova N.,WTA,resolved,Right-handed,two-handed,Nigina Abduraimova,Right (two-handed backhand),182.0,resolved,1994,resolved
Adkar V.,WTA,resolved,Right-handed,two-handed,Vaishnavi Adkar,Right-handed (two-handed backhand),,missing_height_field,2004,resolved
Ahn A.,WTA,missing_plays_field,,,Alyssa Ahn,,,missing_height_field,2006,resolved
Aiava D.,WTA,resolved,Right-handed,two-handed,Destanee Aiava,Right-handed (two-handed backhand),175.0,resolved,2000,resolved
Aksu A.,WTA,resolved,Right-handed,two-handed,Ayla Aksu,Right (two-handed backhand),170.0,resolved,1996,resolved
Alexandrova E.,WTA,resolved,Right-handed,two-handed,Ekaterina Alexandrova,Right-handed (two-handed backhand),175.0,resolved,1994,resolved
Alves C.,WTA,no_infobox,,,Camila Alves,,175.3,resolved,1983,resolved
Amariei I.D.,WTA,unresolved_name,,,,,,,,
Anderson R.,WTA,resolved,Right-handed,two-handed,Robin Anderson (tennis),Right (two-handed backhand),,missing_height_field,1993,resolved
Andreescu B.,WTA,resolved,Right-handed,two-handed,Bianca Andreescu,Right-handed (two-handed backhand),170.0,resolved,2000,resolved
Andreeva E.,WTA,resolved,Right-handed,two-handed,Erika Andreeva,Right-handed (two-handed backhand),168.0,resolved,2004,resolved
Andreeva M.,WTA,resolved,Right-handed,two-handed,Mirra Andreeva,Right (two-handed backhand),175.0,resolved,2007,resolved
Andrianjafitrimo T.,WTA,resolved,Right-handed,two-handed,Tessah Andrianjafitrimo,Right (two-handed backhand),169.0,resolved,1998,resolved
Anisimova A.,WTA,resolved,Right-handed,two-handed,Amanda Anisimova,Right (two-handed backhand),180.3,resolved,2001,resolved
Anshba A.,WTA,resolved,Left-handed,two-handed,Amina Anshba,Left (two-handed backhand),,missing_height_field,1999,resolved
Appleton E.,WTA,no_infobox,,,Emma Appleton,,,missing_height_field,1991,resolved
Arango E.,WTA,resolved,Right-handed,two-handed,Emiliana Arango,Right (two-handed backhand),172.0,resolved,2000,resolved
Arconada U.M.,WTA,resolved,Right-handed,two-handed,Usue Maitane Arconada,Right (two-handed backhand),165.0,resolved,1998,resolved
Argyrokastriti M.,WTA,unresolved_name,,,,,,,,
Arseneault A.,WTA,hand_only_no_backhand,Right-handed,,Ariana Arseneault,Right-handed,177.0,resolved,2002,resolved
Avanesyan E.,WTA,resolved,Right-handed,two-handed,Elina Avanesyan,Right (two-handed backhand),172.0,resolved,2002,resolved
Avdeeva J.,WTA,missing_plays_field,,,Julia Avdeeva,,,missing_height_field,2002,resolved
Azarenka V.,WTA,resolved,Right-handed,two-handed,Victoria Azarenka,Right-handed (two-handed backhand),183.0,resolved,1989,resolved
Babos T.,WTA,resolved,Right-handed,two-handed,Tímea Babos,Right (two-handed backhand),179.0,resolved,1993,resolved
Back D.,WTA,unresolved_name,,,,,,,,
Badosa P.,WTA,resolved,Right-handed,two-handed,Paula Badosa,Right-handed (two-handed backhand),180.0,resolved,1997,resolved
Bai Z.,WTA,unresolved_name,,,,,,,,
Baindl K.,WTA,resolved,Right-handed,two-handed,Kateryna Baindl,Right (two-handed backhand),175.0,resolved,1994,resolved
Bandecchi S.,WTA,resolved,Right-handed,two-handed,Susan Bandecchi,Right (two-handed backhand),,missing_height_field,1998,resolved
Baptiste H.,WTA,resolved,Right-handed,two-handed,Hailey Baptiste,Right-handed (two-handed backhand),170.0,resolved,2001,resolved
Bara I.,WTA,resolved,Right-handed,two-handed,Irina Bara,Right (two-handed backhand),164.0,resolved,1995,resolved
Barros V.L.,WTA,unresolved_name,,,,,,,,
Barry M.,WTA,unresolved_name,,,,,,,,
Barthel M.,WTA,resolved,Right-handed,two-handed,Mona Barthel,Right-handed (two handed backhand),185.0,resolved,1990,resolved
Bartunkova N.,WTA,resolved,Right-handed,two-handed,Nikola Bartůňková,Right (two-handed backhand),184.0,resolved,2006,resolved
Barty A.,WTA,resolved,Right-handed,two-handed,Ashleigh Barty,Right-handed (two-handed backhand),170.0,resolved,1996,resolved
Basiletti N.,WTA,resolved,Right-handed,two-handed,Noemi Basiletti,Right-handed (two-handed backhand),,missing_height_field,2006,resolved
Bassols M.,WTA,hand_only_no_backhand,Right-handed,,Marina Bassols Ribera,Right-handed,165.0,resolved,1999,resolved
Bechri C.,WTA,resolved,Right-handed,two-handed,Chiraz Bechri,Right (two-handed backhand),,missing_height_field,1998,resolved
Begu I.,WTA,resolved,Right-handed,two-handed,Irina-Camelia Begu,Right-handed (two-handed backhand),181.0,resolved,1990,resolved
Bejlek S.,WTA,resolved,Left-handed,two-handed,Sára Bejlek,Left-handed (two-handed backhand),163.0,resolved,2006,resolved
Bektas E.,WTA,resolved,Right-handed,two-handed,Emina Bektas,Right-handed (two-handed backhand),,missing_height_field,1993,resolved
Bencic B.,WTA,resolved,Right-handed,two-handed,Belinda Bencic,Right-handed (two-handed backhand),175.0,resolved,1997,resolved
Benoit M.,WTA,resolved,Left-handed,two-handed,Marie Benoît,Left-handed (two-handed backhand),,missing_height_field,1995,resolved
Berberovic N.,WTA,resolved,Right-handed,two-handed,Nefisa Berberović,Right (two-handed backhand),,missing_height_field,1999,resolved
Bertea E.R.,WTA,no_infobox,,,Ernesto Bertea,,,missing_height_field,,missing_birth_date_field
Betova M.,WTA,resolved,Right-handed,one-handed,Margarita Betova,Right (one-handed backhand),183.0,resolved,1994,resolved
Bhamidipaty S.R.,WTA,unresolved_name,,,,,,,,
Birrell K.,WTA,resolved,Right-handed,two-handed,Kimberly Birrell,Right (two-handed backhand),170.0,resolved,1998,resolved
Bjorklund M.,WTA,resolved,Right-handed,two-handed,Mirjam Björklund,Right (two-handed backhand),170.0,resolved,1998,resolved
Blinkova A.,WTA,hand_only_no_backhand,Right-handed,,Anna Blinkova,Right-handed,179.0,resolved,1998,resolved
Bogdan A.,WTA,resolved,Right-handed,two-handed,Ana Bogdan,Right-handed (two-handed backhand),171.0,resolved,1992,resolved
Boisson L.,WTA,resolved,Right-handed,two-handed,Loïs Boisson,Right-handed (two-handed backhand),175.0,resolved,2003,resolved
Bolkvadze M.,WTA,resolved,Left-handed,two-handed,Mariam Bolkvadze,Left (two-handed backhand),,missing_height_field,1998,resolved
Bolsova A.,WTA,resolved,Right-handed,two-handed,Aliona Bolsova,Right (two-handed backhand),172.0,resolved,1997,resolved
Bolsova Zadoinov A.,WTA,unresolved_name,,,,,,,,
Bonaventure Y.,WTA,resolved,Left-handed,two-handed,Ysaline Bonaventure,Left (two-handed backhand),178.0,resolved,1994,resolved
Bondar A.,WTA,resolved,Right-handed,two-handed,Anna Bondár,Right (two-handed backhand),175.0,resolved,1997,resolved
Bondarenko K.,WTA,unresolved_name,,,,,,,,
Boskovic L.,WTA,resolved,Right-handed,one-handed,Lea Bošković,Right (one-handed backhand),179.0,resolved,1999,resolved
Bouchard E.,WTA,resolved,Right-handed,two-handed,Eugenie Bouchard,Right (two-handed backhand),178.0,resolved,1994,resolved
Boulter K.,WTA,resolved,Right-handed,two-handed,Katie Boulter,Right-handed (two-handed backhand),182.0,resolved,1996,resolved
Bouzas Maneiro J.,WTA,resolved,Right-handed,two-handed,Jéssica Bouzas Maneiro,Right-handed (two-handed backhand),170.0,resolved,2002,resolved
Bouzkova M.,WTA,resolved,Right-handed,two-handed,Marie Bouzková,Right-handed (two-handed backhand),180.0,resolved,1998,resolved
Brace C.,WTA,hand_only_no_backhand,Right-handed,,Cadence Brace,Right-handed,175.0,resolved,2005,resolved
Brady J.,WTA,no_infobox,,,James Brady,,,missing_height_field,1940,resolved
Brancaccio N.,WTA,resolved,Right-handed,two-handed,Nuria Brancaccio,Right-handed (two-handed backhand),,missing_height_field,2000,resolved
Branstine C.,WTA,resolved,Right-handed,two-handed,Carson Branstine,Right (two-handed backhand),180.0,resolved,2000,resolved
Brantmeier R.,WTA,hand_only_no_backhand,Right-handed,,Reese Brantmeier,Right-handed,170.0,resolved,2004,resolved
Brengle M.,WTA,resolved,Right-handed,two-handed,Madison Brengle,Right (two-handed backhand),167.6,resolved,1990,resolved
Brockmann T.J.,WTA,resolved,Right-handed,two-handed,Tessa Johanna Brockmann,"Right-handed (two-handed backhand)<ref>{{cite web|url=https://www.tennisabstract.com/cgi-bin/wplayer.cgi?p=260598/Tessa-Johanna-Brockmann|title=Tessa Johanna Brockmann - Match Results, Splits and Analysis|website=tennisabstract.com|access-date=15 July 2025}}</ref>",,missing_height_field,2005,resolved
Bronzetti L.,WTA,resolved,Right-handed,two-handed,Lucia Bronzetti,Right-handed (two-handed backhand),170.0,resolved,1998,resolved
Bucsa C.,WTA,resolved,Right-handed,two-handed,Cristina Bucșa,Right-handed (two-handed backhand),176.0,resolved,1998,resolved
Bulgaru M.,WTA,resolved,Right-handed,two-handed,Miriam Bulgaru,Right (two-handed backhand),,missing_height_field,1998,resolved
Burel C.,WTA,resolved,Right-handed,two-handed,Clara Burel,Right-handed (two-handed backhand),176.0,resolved,2001,resolved
Burillo Escorihuela I.,WTA,unresolved_name,,,,,,,,
Burillo I.,WTA,resolved,Right-handed,two-handed,Irene Burillo,Right (two-handed backhand),,missing_height_field,1997,resolved
Burrage J.,WTA,resolved,Right-handed,two-handed,Jodie Burrage,Right-handed (two-handed backhand),175.0,resolved,1999,resolved
Buyukakcay C.,WTA,resolved,Right-handed,two-handed,Çağla Büyükakçay,Right-handed (two-handed backhand),172.0,resolved,1989,resolved
Buzarnescu M.,WTA,resolved,Left-handed,two-handed,Mihaela Buzărnescu,Left (two-handed backhand),175.0,resolved,1988,resolved
Cabrera L.,WTA,resolved,Right-handed,two-handed,Lizette Cabrera,Right (two-handed backhand),168.0,resolved,1997,resolved
Cadantu A.,WTA,unresolved_name,,,,,,,,
Candiotto A.,WTA,resolved,Right-handed,two-handed,Ana Candiotto,Right (two-handed backhand),,missing_height_field,2004,resolved
Caregaro M.,WTA,resolved,Right-handed,two-handed,Martina Caregaro,Right (two-handed backhand),,missing_height_field,1992,resolved
Carle M.,WTA,missing_plays_field,,,María Lourdes Carlé,,166.0,resolved,2000,resolved
Cengiz B.,WTA,resolved,Right-handed,two-handed,Berfu Cengiz,Right (two-handed backhand),,missing_height_field,1999,resolved
Chang H.,WTA,unresolved_name,,,,,,,,
Chang S.,WTA,unresolved_name,,,,,,,,
Charaeva A.,WTA,hand_only_no_backhand,Right-handed,,Alina Charaeva,Right-handed,,missing_height_field,2002,resolved
Cherubini D.,WTA,resolved,Right-handed,two-handed,Diletta Cherubini,Right (two-handed backhand),,missing_height_field,2002,resolved
Chirico L.,WTA,hand_only_no_backhand,Right-handed,,Louisa Chirico,Right-handed,175.0,resolved,1996,resolved
Chong E.,WTA,missing_plays_field,,,Eudice Chong,,,missing_height_field,1996,resolved
Chwalinska M.,WTA,resolved,Left-handed,two-handed,Maja Chwalińska,Left (two-handed backhand),165.0,resolved,2001,resolved
Ciric Bagaric L.,WTA,hand_only_no_backhand,Right-handed,,Lucija Ćirić Bagarić,Right-handed,,missing_height_field,2004,resolved
Cirstea S.,WTA,resolved,Right-handed,two-handed,Sorana Cîrstea,Right-handed (two-handed backhand),176.0,resolved,1990,resolved
Clijsters K.,WTA,resolved,Right-handed,two-handed,Kim Clijsters,Right-handed (two-handed backhand),174.0,resolved,1983,resolved
Cocciaretto E.,WTA,resolved,Right-handed,two-handed,Elisabetta Cocciaretto,Right-handed (two-handed backhand),166.0,resolved,2001,resolved
Collins D.,WTA,resolved,Right-handed,two-handed,Danielle Collins,Right-handed (two-handed backhand),177.8,resolved,1993,resolved
