Tournament,Date,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1
French Open,2015-05-28,Outdoor,Clay,2nd Round,3,Friedsam A.L.,Williams S.,Williams S.,105
French Open,2015-05-28,Outdoor,Clay,2nd Round,3,Keys M.,Bencic B.,Keys M.,16
French Open,2015-05-28,Outdoor,Clay,2nd Round,3,Konjuh A.,Begu I.,Begu I.,94
French Open,2015-05-28,Outdoor,Clay,2nd Round,3,Kovinic D.,Mladenovic K.,Mladenovic K.,89
French Open,2015-05-28,Outdoor,Clay,2nd Round,3,Kuznetsova S.,Schiavone F.,Schiavone F.,18
French Open,2015-05-28,Outdoor,Clay,2nd Round,3,Mitu A.,Pliskova Ka.,Mitu A.,100
French Open,2015-05-28,Outdoor,Clay,2nd Round,3,Petkovic A.,Dominguez Lino L.,Petkovic A.,10
French Open,2015-05-28,Outdoor,Clay,2nd Round,3,Smitkova T.,Bacsinszky T.,Bacsinszky T.,65
French Open,2015-05-28,Outdoor,Clay,2nd Round,3,Soler Espinosa S.,Kvitova P.,Kvitova P.,97
French Open,2015-05-28,Outdoor,Clay,2nd Round,3,Stephens S.,Watson H.,Stephens S.,40
French Open,2015-05-28,Outdoor,Clay,2nd Round,3,Van Uytvanck A.,Diyas Z.,Van Uytvanck A.,93
French Open,2015-05-28,Outdoor,Clay,2nd Round,3,Wozniacki C.,Goerges J.,Goerges J.,5
French Open,2015-05-29,Outdoor,Clay,3rd Round,3,Beck A.,Svitolina E.,Svitolina E.,83
French Open,2015-05-29,Outdoor,Clay,3rd Round,3,Cornet A.,Lucic M.,Cornet A.,29
French Open,2015-05-29,Outdoor,Clay,3rd Round,3,Muguruza G.,Kerber A.,Muguruza G.,20
French Open,2015-05-29,Outdoor,Clay,3rd Round,3,Pennetta F.,Suarez Navarro C.,Pennetta F.,28
French Open,2015-05-29,Outdoor,Clay,3rd Round,3,Safarova L.,Lisicki S.,Safarova L.,13
French Open,2015-05-29,Outdoor,Clay,3rd Round,3,Stosur S.,Sharapova M.,Sharapova M.,22
French Open,2015-05-29,Outdoor,Clay,3rd Round,3,Vekic D.,Ivanovic A.,Ivanovic A.,165
French Open,2015-05-29,Outdoor,Clay,3rd Round,3,Vesnina E.,Makarova E.,Makarova E.,82
French Open,2015-05-30,Outdoor,Clay,3rd Round,3,Bacsinszky T.,Keys M.,Bacsinszky T.,24
French Open,2015-05-30,Outdoor,Clay,3rd Round,3,Begu I.,Kvitova P.,Kvitova P.,30
French Open,2015-05-30,Outdoor,Clay,3rd Round,3,Goerges J.,Falconi I.,Goerges J.,72
French Open,2015-05-30,Outdoor,Clay,3rd Round,3,Mitu A.,Schiavone F.,Mitu A.,100
French Open,2015-05-30,Outdoor,Clay,3rd Round,3,Mladenovic K.,Van Uytvanck A.,Van Uytvanck A.,44
French Open,2015-05-30,Outdoor,Clay,3rd Round,3,Petkovic A.,Errani S.,Errani S.,10
French Open,2015-05-30,Outdoor,Clay,3rd Round,3,Pironkova T.,Stephens S.,Stephens S.,49
French Open,2015-05-30,Outdoor,Clay,3rd Round,3,Williams S.,Azarenka V.,Williams S.,1
French Open,2015-05-31,Outdoor,Clay,4th Round,3,Makarova E.,Ivanovic A.,Ivanovic A.,9
French Open,2015-05-31,Outdoor,Clay,4th Round,3,Svitolina E.,Cornet A.,Svitolina E.,21
French Open,2015-06-01,Outdoor,Clay,4th Round,3,Bacsinszky T.,Kvitova P.,Bacsinszky T.,24
French Open,2015-06-01,Outdoor,Clay,4th Round,3,Errani S.,Goerges J.,Errani S.,17
French Open,2015-06-01,Outdoor,Clay,4th Round,3,Mitu A.,Van Uytvanck A.,Van Uytvanck A.,100
French Open,2015-06-01,Outdoor,Clay,4th Round,3,Pennetta F.,Muguruza G.,Muguruza G.,28
French Open,2015-06-01,Outdoor,Clay,4th Round,3,Safarova L.,Sharapova M.,Safarova L.,13
French Open,2015-06-01,Outdoor,Clay,4th Round,3,Stephens S.,Williams S.,Williams S.,40
French Open,2015-06-02,Outdoor,Clay,Quarterfinals,3,Safarova L.,Muguruza G.,Safarova L.,13
French Open,2015-06-02,Outdoor,Clay,Quarterfinals,3,Svitolina E.,Ivanovic A.,Ivanovic A.,21
French Open,2015-06-03,Outdoor,Clay,Quarterfinals,3,Van Uytvanck A.,Bacsinszky T.,Bacsinszky T.,93
French Open,2015-06-03,Outdoor,Clay,Quarterfinals,3,Williams S.,Errani S.,Williams S.,1
French Open,2015-06-04,Outdoor,Clay,Semifinals,3,Ivanovic A.,Safarova L.,Safarova L.,7
French Open,2015-06-04,Outdoor,Clay,Semifinals,3,Williams S.,Bacsinszky T.,Williams S.,1
French Open,2015-06-06,Outdoor,Clay,The Final,3,Safarova L.,Williams S.,Williams S.,13
Aegon Open,2015-06-08,Outdoor,Grass,1st Round,3,Davis L.,Tomljanovic A.,Davis L.,63
Aegon Open,2015-06-08,Outdoor,Grass,1st Round,3,Gibbs N.,Jovanovski B.,Jovanovski B.,100
Aegon Open,2015-06-08,Outdoor,Grass,1st Round,3,Knapp K.,Wickmayer Y.,Wickmayer Y.,41
Aegon Open,2015-06-08,Outdoor,Grass,1st Round,3,Lucic M.,Voegele S.,Lucic M.,58
Aegon Open,2015-06-08,Outdoor,Grass,1st Round,3,Riske A.,Zheng S.,Riske A.,48
Aegon Open,2015-06-08,Outdoor,Grass,1st Round,3,Rogers S.,Konjuh A.,Konjuh A.,82
Topshelf Open,2015-06-08,Outdoor,Grass,1st Round,3,Giorgi C.,Falconi I.,Giorgi C.,35
Topshelf Open,2015-06-08,Outdoor,Grass,1st Round,3,Krajicek M.,Dodin O.,Krajicek M.,403
Topshelf Open,2015-06-08,Outdoor,Grass,1st Round,3,Mitu A.,Vandeweghe C.,Vandeweghe C.,68
Topshelf Open,2015-06-08,Outdoor,Grass,1st Round,3,Nara K.,Flipkens K.,Nara K.,57
Topshelf Open,2015-06-08,Outdoor,Grass,1st Round,3,Witthoeft C.,Erakovic M.,Erakovic M.,53
Aegon Open,2015-06-09,Outdoor,Grass,1st Round,3,Dellacqua C.,Karatantcheva S.,Dellacqua C.,50
Aegon Open,2015-06-09,Outdoor,Grass,1st Round,3,Diyas Z.,Schiavone F.,Diyas Z.,32
Aegon Open,2015-06-09,Outdoor,Grass,1st Round,3,Dunne K.,Govortsova O.,Govortsova O.,300
Aegon Open,2015-06-09,Outdoor,Grass,1st Round,3,Gajdosova J.,Mchale C.,Mchale C.,52
Aegon Open,2015-06-09,Outdoor,Grass,1st Round,3,Hradecka L.,Puig M.,Puig M.,55
Aegon Open,2015-06-09,Outdoor,Grass,1st Round,3,Linette M.,Hantuchova D.,Linette M.,102
Aegon Open,2015-06-09,Outdoor,Grass,1st Round,3,Niculescu M.,Lepchenko V.,Niculescu M.,61
Aegon Open,2015-06-09,Outdoor,Grass,1st Round,3,Radwanska A.,Kudryavtseva A.,Radwanska A.,13
Aegon Open,2015-06-09,Outdoor,Grass,1st Round,3,Rybarikova M.,Konta J.,Konta J.,59
Aegon Open,2015-06-09,Outdoor,Grass,1st Round,3,Wang Q.,Vickery S.,Vickery S.,109
Topshelf Open,2015-06-09,Outdoor,Grass,1st Round,3,Babos T.,Mladenovic K.,Mladenovic K.,91
Topshelf Open,2015-06-09,Outdoor,Grass,1st Round,3,Bencic B.,Pegula J.,Bencic B.,33
Topshelf Open,2015-06-09,Outdoor,Grass,1st Round,3,Bertens K.,Zhang S.,Bertens K.,132
Topshelf Open,2015-06-09,Outdoor,Grass,1st Round,3,Larsson J.,Koukalova K.,Koukalova K.,70
Topshelf Open,2015-06-09,Outdoor,Grass,1st Round,3,Pavlyuchenkova A.,Sanchez M.,Pavlyuchenkova A.,40
Topshelf Open,2015-06-09,Outdoor,Grass,1st Round,3,Radwanska U.,Beck A.,Beck A.,106
Topshelf Open,2015-06-09,Outdoor,Grass,1st Round,3,Shvedova Y.,Bouchard E.,Shvedova Y.,76
Topshelf Open,2015-06-09,Outdoor,Grass,1st Round,3,Siniakova K.,Maria T.,Maria T.,73
Topshelf Open,2015-06-09,Outdoor,Grass,1st Round,3,Smitkova T.,Jankovic J.,Jankovic J.,62
Topshelf Open,2015-06-09,Outdoor,Grass,1st Round,3,Tsurenko L.,Hlavackova A.,Hlavackova A.,66
Topshelf Open,2015-06-09,Outdoor,Grass,1st Round,3,Van Uytvanck A.,Rodina E.,Van Uytvanck A.,46
Aegon Open,2015-06-10,Outdoor,Grass,2nd Round,3,Davis L.,Linette M.,Davis L.,63
Aegon Open,2015-06-10,Outdoor,Grass,2nd Round,3,Govortsova O.,Niculescu M.,Niculescu M.,127
Aegon Open,2015-06-10,Outdoor,Grass,2nd Round,3,Lucic M.,Riske A.,Riske A.,58
Topshelf Open,2015-06-10,Outdoor,Grass,2nd Round,3,Erakovic M.,Shvedova Y.,Shvedova Y.,94
Topshelf Open,2015-06-10,Outdoor,Grass,2nd Round,3,Giorgi C.,Krajicek M.,Giorgi C.,35
Topshelf Open,2015-06-10,Outdoor,Grass,2nd Round,3,Maria T.,Vandeweghe C.,Vandeweghe C.,80
Topshelf Open,2015-06-10,Outdoor,Grass,2nd Round,3,Mladenovic K.,Nara K.,Mladenovic K.,43
Aegon Open,2015-06-11,Outdoor,Grass,2nd Round,3,Dellacqua C.,Konjuh A.,Konjuh A.,50
Aegon Open,2015-06-11,Outdoor,Grass,2nd Round,3,Puig M.,Konta J.,Konta J.,89
Aegon Open,2015-06-11,Outdoor,Grass,2nd Round,3,Radwanska A.,Mchale C.,Radwanska A.,13
Aegon Open,2015-06-11,Outdoor,Grass,2nd Round,3,Vickery S.,Diyas Z.,Vickery S.,129
Aegon Open,2015-06-11,Outdoor,Grass,2nd Round,3,Wickmayer Y.,Jovanovski B.,Wickmayer Y.,92
Topshelf Open,2015-06-11,Outdoor,Grass,2nd Round,3,Beck A.,Koukalova K.,Beck A.,69
Topshelf Open,2015-06-11,Outdoor,Grass,2nd Round,3,Bencic B.,Van Uytvanck A.,Bencic B.,33
Topshelf Open,2015-06-11,Outdoor,Grass,2nd Round,3,Hlavackova A.,Jankovic J.,Jankovic J.,168
Topshelf Open,2015-06-11,Outdoor,Grass,2nd Round,3,Pavlyuchenkova A.,Bertens K.,Bertens K.,40
Aegon Open,2015-06-12,Outdoor,Grass,Quarterfinals,3,Konta J.,Niculescu M.,Niculescu M.,147
Aegon Open,2015-06-12,Outdoor,Grass,Quarterfinals,3,Radwanska A.,Davis L.,Radwanska A.,13
Topshelf Open,2015-06-12,Outdoor,Grass,Quarterfinals,3,Beck A.,Jankovic J.,Jankovic J.,69
Topshelf Open,2015-06-12,Outdoor,Grass,Quarterfinals,3,Bencic B.,Mladenovic K.,Bencic B.,33
Topshelf Open,2015-06-12,Outdoor,Grass,Quarterfinals,3,Giorgi C.,Shvedova Y.,Giorgi C.,35
Topshelf Open,2015-06-12,Outdoor,Grass,Quarterfinals,3,Vandeweghe C.,Bertens K.,Bertens K.,34
Topshelf Open,2015-06-13,Outdoor,Grass,Semifinals,3,Bencic B.,Jankovic J.,Bencic B.,33
Topshelf Open,2015-06-13,Outdoor,Grass,Semifinals,3,Bertens K.,Giorgi C.,Giorgi C.,132
Aegon Open,2015-06-14,Outdoor,Grass,Quarterfinals,3,Vickery S.,Konjuh A.,Konjuh A.,129
Aegon Open,2015-06-14,Outdoor,Grass,Semifinals,3,Niculescu M.,Radwanska A.,Niculescu M.,61
Aegon Open,2015-06-14,Outdoor,Grass,Semifinals,3,Riske A.,Konjuh A.,Konjuh A.,48
Topshelf Open,2015-06-14,Outdoor,Grass,The Final,3,Giorgi C.,Bencic B.,Giorgi C.,35
AEGON Classic ,2015-06-15,Outdoor,Grass,1st Round,3,Cornet A.,Mchale C.,Mchale C.,25
AEGON Classic ,2015-06-15,Outdoor,Grass,1st Round,3,Davis L.,Dellacqua C.,Dellacqua C.,63
AEGON Classic ,2015-06-15,Outdoor,Grass,1st Round,3,Gajdosova J.,Konta J.,Konta J.,52
AEGON Classic ,2015-06-15,Outdoor,Grass,1st Round,3,Hradecka L.,Tsurenko L.,Hradecka L.,55
AEGON Classic ,2015-06-15,Outdoor,Grass,1st Round,3,Koukalova K.,Vandeweghe C.,Koukalova K.,85
AEGON Classic ,2015-06-15,Outdoor,Grass,1st Round,3,Muguruza G.,Rybarikova M.,Rybarikova M.,21
AEGON Classic ,2015-06-15,Outdoor,Grass,1st Round,3,Pironkova T.,Swan K.,Pironkova T.,47
AEGON Classic ,2015-06-15,Outdoor,Grass,1st Round,3,Schmiedlova A.,Jovanovski B.,Schmiedlova A.,64
AEGON Classic ,2015-06-15,Outdoor,Grass,1st Round,3,Siniakova K.,Nara K.,Siniakova K.,73
AEGON Classic ,2015-06-15,Outdoor,Grass,1st Round,3,Tomljanovic A.,Broady N.,Broady N.,79
AEGON Classic ,2015-06-15,Outdoor,Grass,1st Round,3,Zheng S.,Larcherde Brito M.,Larcherde Brito M.,65
Aegon Open,2015-06-15,Outdoor,Grass,The Final,3,Konjuh A.,Niculescu M.,Konjuh A.,87
AEGON Classic ,2015-06-16,Outdoor,Grass,1st Round,3,Cetkovska P.,Erakovic M.,Erakovic M.,143
AEGON Classic ,2015-06-16,Outdoor,Grass,1st Round,3,Diyas Z.,Bondarenko K.,Diyas Z.,32
AEGON Classic ,2015-06-16,Outdoor,Grass,1st Round,3,Doi M.,Puig M.,Doi M.,96
AEGON Classic ,2015-06-16,Outdoor,Grass,1st Round,3,Hantuchova D.,Begu I.,Hantuchova D.,72
AEGON Classic ,2015-06-16,Outdoor,Grass,1st Round,3,Jankovic J.,Smitkova T.,Jankovic J.,30
AEGON Classic ,2015-06-16,Outdoor,Grass,1st Round,3,Kuznetsova S.,Knapp K.,Kuznetsova S.,28
AEGON Classic ,2015-06-16,Outdoor,Grass,1st Round,3,Lepchenko V.,Azarenka V.,Azarenka V.,37
AEGON Classic ,2015-06-16,Outdoor,Grass,1st Round,3,Lucic M.,Bencic B.,Bencic B.,58
AEGON Classic ,2015-06-16,Outdoor,Grass,1st Round,3,Maria T.,Garcia C.,Garcia C.,80
AEGON Classic ,2015-06-16,Outdoor,Grass,1st Round,3,Mladenovic K.,Riske A.,Mladenovic K.,43
AEGON Classic ,2015-06-16,Outdoor,Grass,1st Round,3,Strycova B.,Niculescu M.,Strycova B.,22
AEGON Classic ,2015-06-16,Outdoor,Grass,1st Round,3,Vinci R.,Babos T.,Babos T.,36
AEGON Classic ,2015-06-16,Outdoor,Grass,1st Round,3,Watson H.,Krunic A.,Krunic A.,45
AEGON Classic ,2015-06-16,Outdoor,Grass,2nd Round,3,Broady N.,Halep S.,Halep S.,224
AEGON Classic ,2015-06-16,Outdoor,Grass,2nd Round,3,Siniakova K.,Petkovic A.,Siniakova K.,73
AEGON Classic ,2015-06-17,Outdoor,Grass,2nd Round,3,Bouchard E.,Mladenovic K.,Mladenovic K.,11
AEGON Classic ,2015-06-17,Outdoor,Grass,2nd Round,3,Doi M.,Mchale C.,Mchale C.,96
AEGON Classic ,2015-06-17,Outdoor,Grass,2nd Round,3,Garcia C.,Koukalova K.,Koukalova K.,31
AEGON Classic ,2015-06-17,Outdoor,Grass,2nd Round,3,Hantuchova D.,Erakovic M.,Hantuchova D.,72
AEGON Classic ,2015-06-17,Outdoor,Grass,2nd Round,3,Hradecka L.,Strycova B.,Strycova B.,55
AEGON Classic ,2015-06-17,Outdoor,Grass,2nd Round,3,Jankovic J.,Dellacqua C.,Jankovic J.,30
AEGON Classic ,2015-06-17,Outdoor,Grass,2nd Round,3,Kerber A.,Pironkova T.,Kerber A.,10
AEGON Classic ,2015-06-17,Outdoor,Grass,2nd Round,3,Krunic A.,Kuznetsova S.,Kuznetsova S.,88
AEGON Classic ,2015-06-17,Outdoor,Grass,2nd Round,3,Larcherde Brito M.,Ivanovic A.,Larcherde Brito M.,139
AEGON Classic ,2015-06-17,Outdoor,Grass,2nd Round,3,Lisicki S.,Bencic B.,Lisicki S.,19
AEGON Classic ,2015-06-17,Outdoor,Grass,2nd Round,3,Schmiedlova A.,Rybarikova M.,Rybarikova M.,64
AEGON Classic ,2015-06-17,Outdoor,Grass,2nd Round,3,Suarez Navarro C.,Babos T.,Suarez Navarro C.,9
AEGON Classic ,2015-06-18,Outdoor,Grass,2nd Round,3,Konta J.,Pliskova Ka.,Pliskova Ka.,147
AEGON Classic ,2015-06-18,Outdoor,Grass,3rd Round,3,Diyas Z.,Pliskova Ka.,Pliskova Ka.,32
AEGON Classic ,2015-06-18,Outdoor,Grass,3rd Round,3,Halep S.,Koukalova K.,Halep S.,3
AEGON Classic ,2015-06-18,Outdoor,Grass,3rd Round,3,Kerber A.,Jankovic J.,Kerber A.,10
AEGON Classic ,2015-06-18,Outdoor,Grass,3rd Round,3,Kuznetsova S.,Suarez Navarro C.,Suarez Navarro C.,28
AEGON Classic ,2015-06-18,Outdoor,Grass,3rd Round,3,Larcherde Brito M.,Hantuchova D.,Hantuchova D.,139
AEGON Classic ,2015-06-18,Outdoor,Grass,3rd Round,3,Lisicki S.,Rybarikova M.,Lisicki S.,19
AEGON Classic ,2015-06-18,Outdoor,Grass,3rd Round,3,Siniakova K.,Mchale C.,Siniakova K.,73
AEGON Classic ,2015-06-18,Outdoor,Grass,3rd Round,3,Strycova B.,Mladenovic K.,Mladenovic K.,22
AEGON Classic ,2015-06-19,Outdoor,Grass,Quarterfinals,3,Halep S.,Mladenovic K.,Mladenovic K.,3
AEGON Classic ,2015-06-19,Outdoor,Grass,Quarterfinals,3,Hantuchova D.,Lisicki S.,Lisicki S.,72
AEGON Classic ,2015-06-19,Outdoor,Grass,Quarterfinals,3,Kerber A.,Siniakova K.,Kerber A.,10
AEGON Classic ,2015-06-19,Outdoor,Grass,Quarterfinals,3,Pliskova Ka.,Suarez Navarro C.,Pliskova Ka.,12
AEGON Classic ,2015-06-20,Outdoor,Grass,Semifinals,3,Lisicki S.,Kerber A.,Kerber A.,19
AEGON Classic ,2015-06-20,Outdoor,Grass,Semifinals,3,Pliskova Ka.,Mladenovic K.,Pliskova Ka.,12
AEGON Classic ,2015-06-21,Outdoor,Grass,The Final,3,Kerber A.,Pliskova Ka.,Kerber A.,10
AEGON International,2015-06-21,Outdoor,Grass,1st Round,3,Bencic B.,Barthel M.,Bencic B.,31
AEGON International,2015-06-21,Outdoor,Grass,1st Round,3,Broady N.,Stephens S.,Stephens S.,197
AEGON International,2015-06-21,Outdoor,Grass,1st Round,3,Cornet A.,Riske A.,Riske A.,25
AEGON International,2015-06-21,Outdoor,Grass,1st Round,3,Dellacqua C.,Schmiedlova A.,Dellacqua C.,62
AEGON International,2015-06-21,Outdoor,Grass,1st Round,3,Diyas Z.,Konta J.,Konta J.,34
AEGON International,2015-06-21,Outdoor,Grass,1st Round,3,Vandeweghe C.,Larsson J.,Vandeweghe C.,48
AEGON International,2015-06-21,Outdoor,Grass,1st Round,3,Vinci R.,Garcia C.,Garcia C.,35
AEGON International,2015-06-22,Outdoor,Grass,1st Round,3,Cibulkova D.,Dart H.,Cibulkova D.,49
AEGON International,2015-06-22,Outdoor,Grass,1st Round,3,Davis L.,Gajdosova J.,Gajdosova J.,79
AEGON International,2015-06-22,Outdoor,Grass,1st Round,3,Dulgheru A.,Falconi I.,Falconi I.,59
AEGON International,2015-06-22,Outdoor,Grass,1st Round,3,Giorgi C.,Mchale C.,Giorgi C.,32
AEGON International,2015-06-22,Outdoor,Grass,1st Round,3,Hercog P.,Brengle M.,Hercog P.,81
AEGON International,2015-06-22,Outdoor,Grass,1st Round,3,Lepchenko V.,Watson H.,Watson H.,38
AEGON International,2015-06-22,Outdoor,Grass,1st Round,3,Pironkova T.,Erakovic M.,Pironkova T.,44
AEGON International,2015-06-22,Outdoor,Grass,1st Round,3,Rybarikova M.,Kuznetsova S.,Kuznetsova S.,66
AEGON International,2015-06-22,Outdoor,Grass,1st Round,3,Strycova B.,Begu I.,Strycova B.,28
AEGON International,2015-06-23,Outdoor,Grass,2nd Round,3,Bouchard E.,Riske A.,Bouchard E.,12
AEGON International,2015-06-23,Outdoor,Grass,2nd Round,3,Dellacqua C.,Pliskova Ka.,Pliskova Ka.,62
AEGON International,2015-06-23,Outdoor,Grass,2nd Round,3,Errani S.,Strycova B.,Errani S.,19
AEGON International,2015-06-23,Outdoor,Grass,2nd Round,3,Garcia C.,Petkovic A.,Petkovic A.,33
AEGON International,2015-06-23,Outdoor,Grass,2nd Round,3,Gavrilova D.,Giorgi C.,Gavrilova D.,41
AEGON International,2015-06-23,Outdoor,Grass,2nd Round,3,Keys M.,Bencic B.,Bencic B.,21
AEGON International,2015-06-23,Outdoor,Grass,2nd Round,3,Konta J.,Makarova E.,Konta J.,146
AEGON International,2015-06-23,Outdoor,Grass,2nd Round,3,Kuznetsova S.,Pennetta F.,Kuznetsova S.,27
AEGON International,2015-06-23,Outdoor,Grass,2nd Round,3,Muguruza G.,Hercog P.,Muguruza G.,20
AEGON International,2015-06-23,Outdoor,Grass,2nd Round,3,Niculescu M.,Vandeweghe C.,Vandeweghe C.,46
AEGON International,2015-06-23,Outdoor,Grass,2nd Round,3,Radwanska A.,Falconi I.,Radwanska A.,13
AEGON International,2015-06-23,Outdoor,Grass,2nd Round,3,Safarova L.,Cibulkova D.,Cibulkova D.,6
AEGON International,2015-06-23,Outdoor,Grass,2nd Round,3,Stosur S.,Pironkova T.,Pironkova T.,22
AEGON International,2015-06-23,Outdoor,Grass,2nd Round,3,Suarez Navarro C.,Stephens S.,Stephens S.,9
AEGON International,2015-06-23,Outdoor,Grass,2nd Round,3,Svitolina E.,Watson H.,Watson H.,17
AEGON International,2015-06-23,Outdoor,Grass,2nd Round,3,Wozniacki C.,Gajdosova J.,Wozniacki C.,5
AEGON International,2015-06-24,Outdoor,Grass,3rd Round,3,Cibulkova D.,Pironkova T.,Pironkova T.,49
AEGON International,2015-06-24,Outdoor,Grass,3rd Round,3,Gavrilova D.,Errani S.,Gavrilova D.,41
AEGON International,2015-06-24,Outdoor,Grass,3rd Round,3,Konta J.,Muguruza G.,Konta J.,146
AEGON International,2015-06-24,Outdoor,Grass,3rd Round,3,Pliskova Ka.,Radwanska A.,Radwanska A.,11
AEGON International,2015-06-24,Outdoor,Grass,3rd Round,3,Vandeweghe C.,Petkovic A.,Petkovic A.,48
AEGON International,2015-06-24,Outdoor,Grass,3rd Round,3,Watson H.,Stephens S.,Stephens S.,64
AEGON International,2015-06-24,Outdoor,Grass,3rd Round,3,Wozniacki C.,Kuznetsova S.,Wozniacki C.,5
AEGON International,2015-06-25,Outdoor,Grass,Quarterfinals,3,Konta J.,Bencic B.,Bencic B.,146
AEGON International,2015-06-25,Outdoor,Grass,Quarterfinals,3,Radwanska A.,Pironkova T.,Radwanska A.,13
AEGON International,2015-06-25,Outdoor,Grass,Quarterfinals,3,Wozniacki C.,Petkovic A.,Wozniacki C.,5
AEGON International,2015-06-26,Outdoor,Grass,Semifinals,3,Stephens S.,Radwanska A.,Radwanska A.,43
AEGON International,2015-06-27,Outdoor,Grass,The Final,3,Bencic B.,Radwanska A.,Bencic B.,31
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Bencic B.,Pironkova T.,Bencic B.,22
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Cetkovska P.,Babos T.,Babos T.,162
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Duque Marino M.,Broady N.,Duque Marino M.,99
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Erakovic M.,Putintseva Y.,Putintseva Y.,86
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Flipkens K.,Beck A.,Flipkens K.,96
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Friedsam A.L.,Diatchenko V.,Friedsam A.L.,87
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Gasparyan M.,Williams S.,Williams S.,113
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Gavrilova D.,Begu I.,Begu I.,39
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Hantuchova D.,Cibulkova D.,Hantuchova D.,72
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Hercog P.,Davis L.,Davis L.,76
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Hogenkamp R.,Wang Q.,Hogenkamp R.,123
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Kanepi K.,Hsieh S.W.,Hsieh S.W.,50
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Konta J.,Sharapova M.,Sharapova M.,126
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Kontaveit A.,Azarenka V.,Azarenka V.,145
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Kovinic D.,Stosur S.,Stosur S.,92
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Mattek-Sands B.,Van Uytvanck A.,Mattek-Sands B.,158
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Mladenovic K.,Dulgheru A.,Mladenovic K.,38
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Ostapenko J.,Suarez Navarro C.,Ostapenko J.,147
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Pennetta F.,Diyas Z.,Diyas Z.,26
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Petkovic A.,Rogers S.,Petkovic A.,14
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Pliskova Ka.,Falconi I.,Pliskova Ka.,11
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Radwanska U.,Gallovits E.,Radwanska U.,107
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Riske A.,Safarova L.,Safarova L.,44
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Schiavone F.,Errani S.,Errani S.,80
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Strycova B.,Stephens S.,Stephens S.,29
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Tsurenko L.,Gibbs N.,Tsurenko L.,68
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Vandeweghe C.,Schmiedlova A.,Vandeweghe C.,47
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Vinci R.,Krunic A.,Krunic A.,35
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Williams V.,Brengle M.,Williams V.,16
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Xu Y.F.,Ivanovic A.,Ivanovic A.,176
Wimbledon,2015-06-29,Outdoor,Grass,1st Round,3,Zhu L.,Sasnovich A.,Sasnovich A.,116
Wimbledon,2015-06-30,Outdoor,Grass,1st Round,3,Bouchard E.,Duan Y.Y.,Duan Y.Y.,12
Wimbledon,2015-06-30,Outdoor,Grass,1st Round,3,Cornet A.,Konjuh A.,Cornet A.,27
Wimbledon,2015-06-30,Outdoor,Grass,1st Round,3,Garcia C.,Watson H.,Watson H.,33
Wimbledon,2015-06-30,Outdoor,Grass,1st Round,3,Goerges J.,Bacsinszky T.,Bacsinszky T.,56
Wimbledon,2015-06-30,Outdoor,Grass,1st Round,3,Halep S.,Cepelova J.,Cepelova J.,3
Wimbledon,2015-06-30,Outdoor,Grass,1st Round,3,Jankovic J.,Vesnina E.,Jankovic J.,30
Wimbledon,2015-06-30,Outdoor,Grass,1st Round,3,Kuznetsova S.,Siegemund L.,Kuznetsova S.,25
Wimbledon,2015-06-30,Outdoor,Grass,1st Round,3,Kvitova P.,Bertens K.,Kvitova P.,2
Wimbledon,2015-06-30,Outdoor,Grass,1st Round,3,Lisicki S.,Gajdosova J.,Lisicki S.,18
Wimbledon,2015-06-30,Outdoor,Grass,1st Round,3,Maria T.,Jovanovski B.,Maria T.,78
