WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Cirstea S.,Shnaider D.,38,20,1344,1953,6,2,7,6,,,2,0,Completed,1.62,2.3,,,1.67,2.3,1.63,2.24,1.7,2.4
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Kalinskaya A.,Sonmez Z.,22,80,1813,851,6,4,7,6,,,2,0,Completed,1.36,3.2,,,1.38,4,1.35,3.15,1.43,3.25
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Sabalenka A.,Sakatsume H.,1,136,10675,556,6,4,6,2,,,2,0,Completed,1.02,19,,,1.02,19,1.02,14.59,1.02,32
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Tomljanovic A.,Wang Xin.,85,30,837,1438,6,3,6,1,,,2,0,Completed,1.8,2,,,1.85,2.02,1.81,1.96,1.9,2.08
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Paolini J.,Potapova A.,7,91,4232,810,6,7,6,2,6,3,2,1,Completed,1.4,3,,,1.4,3.05,1.39,2.95,1.46,3.15
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Gauff C.,Rakhimova K.,4,88,6803,814,6,3,7,6,,,2,0,Completed,1.07,9,,,1.08,9,1.07,8.02,1.12,8.2
13,Indian Wells,BNP Paribas Open,06/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Cristian J.,Joint M.,35,29,1367,1465,0,6,6,2,7,5,2,1,Completed,1.57,2.38,,,1.62,2.75,1.57,2.34,1.66,2.5
13,Indian Wells,BNP Paribas Open,07/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Osaka N.,Jimenez Kasintseva V.,16,97,2324,788,7,5,6,2,,,2,0,Completed,1.2,4.5,,,1.22,4.7,1.2,4.35,1.27,4.5
13,Indian Wells,BNP Paribas Open,07/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Osorio M.,Jovic I.,61,18,1041,2095,4,6,7,6,6,3,2,1,Completed,3,1.4,,,3,1.47,2.82,1.41,3.05,1.47
13,Indian Wells,BNP Paribas Open,07/03/2026,WTA1000,Outdoor,Hard,2nd Round,3,Anisimova A.,Blinkova A.,6,94,6070,795,5,7,6,1,6,0,2,1,Completed,1.05,11,,,1.06,11,1.05,9.73,1.07,13.5
